quarter,ffr_obs,baag10_obs,gdpdef_obs,hours_dngs15_obs,wage_rgd_obs,gdp_rgd_obs,hours_sw07_obs,ifi_rgd_obs,c_rgd_obs
1977Q1,1.1651666666666676,0.43742063492063443,1.6510349814830416,-48.220047233099415,0.11001681938051172,1.2112512506588207,-9.799377852532643,4.089327070728564,1.2738326487660037
1977Q2,1.2893681318681323,0.4076587301587298,1.6242179752641437,-47.07280612035791,0.3511548983591037,1.7820095615546185,-11.01463861980028,5.699517122665231,0.6820536471139551
1977Q3,1.4541032608695645,0.3677777777777784,1.3998673214445585,-46.841744599750065,0.5372392541554332,1.7836329984416255,-12.884550994393749,2.0270311942531656,1.073973978484797
1977Q4,1.6278260869565213,0.33654166666666696,1.6630580227830145,-46.149251853477615,0.23723668977852205,0.1202619668926444,-11.60921487903829,2.28890981757359,1.2410034575631255
1978Q1,1.6898888888888877,0.29724043715846893,1.6785416692013726,-46.35239691931135,1.1058609479159593,0.2793236949768886,-8.815942499872165,0.9168778846091633,0.5472423370038857
1978Q2,1.8206593406593417,0.286111111111111,1.9651979510417301,-44.69230797025832,-0.3760612173782659,3.7804086893479125,-5.887161736181952,6.857225390442186,2.2890271944295577
1978Q3,2.0236956521739122,0.2536507936507939,1.7629825067844755,-44.84350588539988,0.2437737982964335,0.9606021200483589,-5.570872595331139,2.7980686184207495,0.5475007302610772
1978Q4,2.3944565217391323,0.24289617486338733,1.9947740605743287,-44.2753979323154,0.4044686137477984,1.3274759589720275,-2.5979609481601074,2.0052968415012624,0.6197243308428289
1979Q1,2.518305555555556,0.26279569892473065,1.9162262978164213,-44.13144885564565,0.6371039027000576,0.2519383162330859,1.1129779769701145,1.0757361060931458,0.7950190207633172
1979Q2,2.5454945054945033,0.319583333333334,2.248164277360457,-44.805657112327665,0.03646260775651751,0.06339662983173713,3.416405040171412,-0.3093169186137638,0.03050520497229362
1979Q3,2.7350271739130427,0.3245634920634908,2.0283894820101223,-44.30315116623221,0.2052059121961721,0.7089338687698552,3.416405040171412,2.2581318349915986,1.314668408952749
1979Q4,3.395054347826087,0.34469945355191234,2.006630854792798,-44.4995729324078,0.37443401457905906,0.332360876635667,16.25104397502207,-0.998910244774579,0.8130857633276733
1980Q1,3.7663186813186815,0.3810483870967736,2.2398586477001317,-45.1681974874005,0.46823721256695655,0.3292433414026114,29.420658092435474,-1.0802484609629253,0.6911222854116749
1980Q2,3.167225274725274,0.719761904761905,2.2795566625331323,-47.22906164316002,0.5428319962623585,-2.0598281420683264,28.50151114201367,-9.382761707345084,-2.0893761278199285
1980Q3,2.455788043478262,0.5562369791666657,2.2287489170596997,-47.79309152212507,0.33549414427404883,-0.15451018205595315,27.068785867916006,0.9766537119486277,1.0778101795042123
1980Q4,3.963206521739131,0.5661065573770498,2.6375908186216575,-46.87283434878555,-0.3139831505368311,1.7636276424974406,37.88040675950839,3.6584080658304727,0.7971964071314483
1981Q1,4.148888888888891,0.5740027322404364,2.520370411160759,-46.28958074396847,-0.07696787743255375,1.9240043400323141,41.73603753667186,0.8388426343868262,0.3663690496487231
1981Q2,4.446730769230768,0.5073809523809518,1.7644633553880011,-46.43710802284869,0.2833897789660766,-0.7019111950218361,45.11088764151407,0.8737148976310295,-0.0034027724232097985
1981Q3,4.398586956521742,0.4095572916666681,1.924678498226969,-47.280963266229556,0.41265662030391226,1.1836105594360868,49.49447140909524,-0.24644639481076752,0.3231837766074236
1981Q4,3.3970923913043474,0.6416530054644816,1.8103603436267954,-48.40272326225109,-0.33613216990646405,-1.1876128006917162,50.74096925333134,-0.15982863266387798,-1.0083746794111321
1982Q1,3.5518611111111134,0.6913251366120221,1.3942905969012886,-49.8296287686016,0.6974992692667927,-1.6708421872476449,52.81716839817432,-3.0631122027482913,0.4315000606660209
1982Q2,3.6285439560439534,0.7094841269841266,1.2840286473177374,-50.002045428022825,0.2957830403413962,0.43046625792473253,51.31871764792538,-3.7468880626217094,-0.0151111440750123
1982Q3,2.7531793478260864,0.7843750000000016,1.3726740911544437,-50.6870282743219,0.49073386333484986,-0.4752435932002781,48.10923842159406,-3.820846460443481,0.7951838894356019
1982Q4,2.3209782608695657,0.9316393442622943,1.028401641324114,-51.51284047006961,0.04276391816866596,0.0712272484502394,35.95329963394698,-0.4918991090102581,1.7056866761730243
1983Q1,2.164388888888889,0.8193650793650793,0.7975230574370042,-51.65836755823844,0.1115741126881956,1.1488799507118062,32.00806140087366,0.6255158505520185,0.8906501804679745
1983Q2,2.2006868131868123,0.6749999999999998,0.8933207243260013,-50.63526943207235,-0.14200238924767886,2.333591612418377,27.699702787242472,2.914198888838404,2.3276154777834797
1983Q3,2.364538043478261,0.47256510416666586,0.8420491101263422,-49.07437376860357,-0.24503241147593494,1.7643736307688032,29.766252116975238,4.5933041620563095,1.7537598584605925
1983Q4,2.3575271739130423,0.4793750000000001,0.8350178088981722,-48.0240390358033,0.34842795580210584,2.033087453421959,30.35593441537827,4.743319256421956,1.6544664180669035
1984Q1,2.4221428571428576,0.44720430107526843,1.1971070705905944,-47.30134837439239,-0.17295766537088164,2.1611640913940686,31.35533334908928,2.110167756811619,0.8535780326767866
1984Q2,2.6386813186813183,0.37150793650793723,0.8323388674665968,-46.14199259296331,0.3254164667776762,1.6795394845900566,38.08469692248843,3.819662696022725,1.3774932079580076
1984Q3,2.848070652173912,0.45920634920635006,0.7836592022089766,-46.48092624399895,0.5029918571160692,0.8608946609890773,38.15270100535395,1.4856261630877843,0.6434693311763863
