SERIESNAME,LBMNU,LBCPU,LBOUTU,FM2,FYFF,P16,IPXMCA
 1990:3,102.4,91.4,95.6,3246.433333,8.16,189352.6667,81.60133333
 1990:4,101.8,92.3,94.9,3269.7,7.743333333,189866.3333,79.86166667
 1991:1,100.5,93.1,95.3,3309.733333,6.426666667,190271.6667,77.45533333
 1991:2,100.1,94.6,96.4,3348.266667,5.863333333,190655.6667,77.33933333
 1991:3,100.1,95.5,96.7,3361.866667,5.643333333,191121.3333,78.47466667
 1991:4,99.9,96.7,97.4,3370.733333,4.816666667,191650.6667,78.49166667
 1992:1,99.3,98.7,99.2,3400.133333,4.023333333,192074.6667,78.482
 1992:2,99.8,99.3,99.7,3402.6,3.77,192506.6667,79.42466667
 1992:3,100.2,100.6,99.6,3408.3,3.256666667,193024.3333,79.77266667
 1992:4,100.7,101.4,101.5,3431.4,3.036666667,193615.6667,80.03466667
 1993:1,101.6,101.5,100.2,3421.766667,3.04,194106,80.37133333
 1993:2,102.6,102.1,100.1,3437.266667,3,194555.3333,80.301
 1993:3,103.2,102.4,100.4,3456,3.06,195068,80.04266667
 1993:4,104,102.7,101.3,3475.3,2.99,195621,80.82066667
 1994:1,104.4,104.1,101.5,3486.966667,3.213333333,196085.3333,81.31533333
 1994:2,106,104.1,101.8,3497.033333,3.94,196522,82.38733333
 1994:3,106.9,104.2,101.6,3497.033333,4.486666667,197050,82.705
 1994:4,107.7,105,102.4,3496.033333,5.166666667,197600.6667,83.52033333
 1995:1,108.4,105.4,102.2,3500.2,5.81,197882,83.753
 1995:2,108.3,106.2,102.6,3533.033333,6.02,198295.6667,82.70866667
 1995:3,109.2,106.9,102.8,3596.8,5.796666667,198807,82.14466667
 1995:4,109.4,107.7,103.6,3631.133333,5.72,199351.6667,81.77333333
 1996:1,109.4,108.3,104.5,3676.333333,5.363333333,199776,81.003
 1996:2,110.3,109.5,105.6,3720.866667,5.243333333,200279.3333,81.55966667
 1996:3,111,110.3,105.5,3758.466667,5.306666667,200849.6667,81.989
 1996:4,112.1,111.2,105.9,3797.066667,5.28,201457.3333,81.99466667
 1997:1,113.1,111.8,106.2,3841.866667,5.276666667,202395.6667,82.471
 1997:2,113.8,112.2,107.4,3885.733333,5.523333333,202835.3333,82.48466667
 1997:3,114.3,113.3,108.2,3948.866667,5.533333333,203366.6667,82.773
 1997:4,115.1,115,108.3,4010.533333,5.506666667,203935.3333,82.91733333
 1998:1,116,117,109.5,4085.966667,5.52,204395,82.50566667
 1998:2,116.5,118.5,109.6,4159,5.5,204905,81.57366667
 1998:3,117.1,119.9,110.2,4236.2,5.533333333,205482.6667,80.85566667
 1998:4,118.2,121.1,111.4,4349.966667,4.86,206097.6667,80.71766667
 1999:1,118.4,123.3,112,4428.733333,4.733333333,206876,80.50533333
 1999:2,119.3,123.4,111.8,4491.433333,4.746666667,207431.6667,80.37466667
 1999:3,120,124.4,112.7,4560.766667,5.093333333,208043.6667,80.49566667
 1999:4,120.6,126.2,114.5,4622.133333,5.306666667,208660.3333,80.954
 2000:1,121,130.8,114.6,4696.6,5.68,211586,81.21933333
 2000:2,121,131.4,116.1,4769.866667,6.273333333,212242,81.593
 2000:3,120.8,134.2,116.4,4836,6.52,212918.6667,80.724
 2000:4,120.5,135.3,117,4902.3,6.473333333,213560.3333,79.13466667
 2001:1,120.3,136.7,116.9,5032.8,5.593333333,214101,77.15
 2001:2,119,137.4,117.4,5160.1,4.326666667,214735.6667,75.6
 2001:3,117.8,138.2,118.3,5291.533333,3.496666667,215421.6667,74.46133333
 2001:4,116.3,138.9,120.7,5403.066667,2.133333333,216111.6667,73.11333333
 2002:1,115.5,140.2,123.4,5494.533333,1.733333333,216664,73.50933333
 2002:2,115.5,141.5,123.7,5546.3,1.75,217203.6667,73.98466667
 2002:3,115.3,142.2,125.5,5668.8,1.74,217867.6667,74.373
 2002:4,115.3,142.8,126,5767.966667,1.443333333,218543,NaN
 2003:1,115.1,144.2,126.7,5862.333333,1.25,220109.3333,NaN
 2003:2,114.4,145.5,128.5,5986.633333,1.246666667,220774,NaN
 2003:3,NaN,NaN,NaN,NaN,NaN,NaN,NaN
