quarter,PCEC96_20100528,ffr_obs,gdp_rgd_obs
1980Q1,3796.7666666666664,3.7663186813186815,0.32208876802311104
1980Q2,3710.3903333333333,3.167225274725274,-2.070885145156846
1980Q3,3750.2393333333334,2.455788043478262,-0.18678663334540388
1980Q4,3800.2766666666666,3.963206521739131,1.8336548609935783
1981Q1,3816.7826666666665,4.148888888888891,2.0557195341796617
1981Q2,3816.672666666667,4.446730769230768,-0.8007732847494934
1981Q3,3832.1503333333335,4.398586956521742,1.2078892268770594
1981Q4,3803.1409999999996,3.3970923913043474,-1.2532182407398706
1982Q1,3827.950666666667,3.5518611111111134,-1.6559248720131352
1982Q2,3841.6589999999997,3.6285439560439534,0.541443807255535
1982Q3,3870.936333333333,2.7531793478260864,-0.386202683249157
1982Q4,3941.412666666667,2.3209782608695657,0.07838192845962583
1983Q1,3979.9616666666666,2.164388888888889,1.2357330333409215
1983Q2,4058.8903333333333,2.2006868131868123,2.222757379141682
1983Q3,4130.717,2.364538043478261,1.9536103720333622
1983Q4,4196.308333333333,2.3575271739130423,2.045890684737186
1984Q1,4232.533,2.4221428571428576,1.9211638402034257
1984Q2,4293.167666666667,2.6386813186813183,1.7113095310539048
1984Q3,4326.393666666667,2.848070652173912,0.9664109683166046
1984Q4,4383.423333333333,2.315624999999999,0.8119979054019005
1985Q1,4457.898999999999,2.118777777777778,0.9390720095075858
1985Q2,4498.508,1.9810989010989009,0.8421040190389979
1985Q3,4583.879333333333,1.9752445652173913,1.5503054864265446
1985Q4,4593.927,2.026114130434783,0.7561690936423785
1986Q1,4632.311333333334,1.956722222222221,0.9571778602422554
1986Q2,4681.716333333333,1.7296153846153863,0.4007451823987083
1986Q3,4763.510666666666,1.5523641304347822,0.9597815384832641
1986Q4,4792.435666666667,1.5666847826086956,0.482050203377071
1987Q1,4791.346666666667,1.5556388888888892,0.5520562729712127
1987Q2,4855.721333333334,1.6624999999999996,1.057918250412405
1987Q3,4909.983666666667,1.7098913043478259,0.8642646300529593
1987Q4,4921.720333333334,1.7299184782608699,1.6957122066756294
1988Q1,5003.806333333333,1.6664835164835174,0.5162302665681291
1988Q2,5040.143333333333,1.7887362637362625,1.276401569703769
1988Q3,5079.928333333333,1.995869565217391,0.514943666616432
1988Q4,5139.793000000001,2.117119565217391,1.3263156399592861
1989Q1,5158.741666666666,2.3616111111111104,0.9343336570242925
1989Q2,5181.906333333333,2.431428571428573,0.7453006754892849
1989Q3,5235.784000000001,2.270896739130434,0.7902576523312794
1989Q4,5261.504333333333,2.153614130434783,0.2179926644982843
1990Q1,5303.270333333334,2.0619999999999994,1.0393021349535851
1990Q2,5320.824666666667,2.0598351648351647,0.39658664674014954
1990Q3,5341.068333333334,2.0400543478260857,-0.0012407640625294867
1990Q4,5299.495333333333,1.9358423913043472,-0.8798441644450282
1991Q1,5284.2953333333335,1.6076111111111104,-0.48559926278915183
1991Q2,5324.512333333333,1.4660164835164828,0.6719343320540132
1991Q3,5344.840666666667,1.4113043478260863,0.42016606606906676
1991Q4,5342.2609999999995,1.2046195652173912,0.39114693026316966
1992Q1,5434.069666666666,1.0060714285714283,1.0920449201509415
1992Q2,5466.216,0.9435164835164841,1.0572044400122134
1992Q3,5526.638,0.8148097826086955,1.0269372305026203
1992Q4,5594.107,0.758722826086957,1.046204545641174
1993Q1,5616.858333333334,0.7605833333333336,0.1839817724229131
1993Q2,5670.813333333333,0.7493131868131868,0.6371594175628549
1993Q3,5732.369333333333,0.7644293478260871,0.5253427683781324
1993Q4,5783.3460000000005,0.7470652173913048,1.3123991127514523
1994Q1,5847.731,0.8023333333333335,0.9682490145988722
1994Q2,5891.089,0.9845054945054948,1.35875366396751
1994Q3,5938.248333333334,1.1213586956521737,0.6421978401771871
1994Q4,5996.936000000001,1.291983695652174,1.1045763568848967
1995Q1,6004.3,1.450694444444444,0.24516749668271942
1995Q2,6053.533333333333,1.5047802197802198,0.21472061376462231
1995Q3,6107.633333333334,1.4492934782608702,0.8367604725387007
1995Q4,6150.599999999999,1.429864130434783,0.6948949022193215
1996Q1,6206.833333333333,1.3427472527472528,0.682529844898945
1996Q2,6277.066666666666,1.3109890109890106,1.714392031702248
1996Q3,6314.633333333334,1.3265489130434776,0.8657971102863418
1996Q4,6366.066666666666,1.320217391304347,1.0858848721163772
1997Q1,6430.2,1.3196111111111104,0.7653721152008213
1997Q2,6456.233333333333,1.38054945054945,1.4726233735308043
1997Q3,6566.0,1.3836684782608693,1.2470846395048398
1997Q4,6641.166666666667,1.3768478260869563,0.7642352757543578
1998Q1,6707.2,1.3798333333333335,0.939730368330265
1998Q2,6822.566666666666,1.3743681318681322,0.895673969856897
1998Q3,6913.066666666667,1.382907608695652,1.310736931762161
1998Q4,7019.066666666666,1.2151358695652175,1.7162694985134812
1999Q1,7088.333333333333,1.183638888888889,0.8868397394193943
1999Q2,7199.866666666666,1.1869230769230772,0.7780092990013934
1999Q3,7286.399999999999,1.2738858695652175,1.263973598373472
1999Q4,7389.166666666667,1.3260054347826085,1.7807397298541534
2000Q1,7501.233333333334,1.4194230769230771,0.2602314535003316
2000Q2,7571.8,1.5679945054945053,1.932665585258389
2000Q3,7645.866666666666,1.6298641304347827,0.0834576367782267
2000Q4,7713.566666666667,1.6187228260869573,0.5893196541083043
2001Q1,7744.266666666666,1.399249999999999,-0.3296264423189718
2001Q2,7773.533333333333,1.081675824175824,0.6537729795187959
2001Q3,7807.733333333334,0.8753804347826085,-0.27475205955649407
2001Q4,7930.033333333333,0.532608695652174,0.3521099402921575
