{1948, 0.5552571324462601}
{1948.25, 0.574684091706742}
{1948.5, 0.5717995667564879}
{1948.75, 0.5529513069505918}
{1949., 0.4994294187615214}
{1949.25, 0.430115628023912}
{1949.5, 0.40860528298841814}
{1949.75, 0.47013046918379137}
{1950., 0.4247684948130389}
{1950.25, 0.4627927079295745}
{1950.5, 0.49195923291359317}
{1950.75, 0.5409403324263276}
{1951., 0.5915973629525708}
{1951.25, 0.5886204268923133}
{1951.5, 0.5911101216673745}
{1951.75, 0.5765414959563109}
{1952., 0.6319825015861075}
{1952.25, 0.6087532305469199}
{1952.5, 0.5986372768913698}
{1952.75, 0.5932946969310777}
{1953., 0.6513148224508785}
{1953.25, 0.6130794762585101}
{1953.5, 0.616002863982261}
{1953.75, 0.5169508340654858}
{1954., 0.4489874708764184}
{1954.25, 0.4450010090505979}
{1954.5, 0.41478964741045754}
{1954.75, 0.4650879991931306}
{1955., 0.42899701718707484}
{1955.25, 0.5052575503458043}
{1955.5, 0.49787088868787754}
{1955.75, 0.5046134885227659}
{1956., 0.5174956523193626}
{1956.25, 0.4947088474279362}
{1956.5, 0.5341603745612371}
{1956.75, 0.49448073851229657}
{1957., 0.5122976240802108}
{1957.25, 0.488026105891311}
{1957.5, 0.47817623532586745}
{1957.75, 0.4041725839473981}
{1958., 0.3609583696380465}
{1958.25, 0.35803331811247646}
{1958.5, 0.37140019201810964}
{1958.75, 0.4089366619940469}
{1959., 0.42340732345649645}
{1959.25, 0.44229968353200866}
{1959.5, 0.4202255852198265}
{1959.75, 0.4608937829587091}
{1960., 0.4500855069646859}
{1960.25, 0.45188580361409497}
{1960.5, 0.40904119111421144}
{1960.75, 0.40041023714622315}
{1961., 0.3769559383076766}
{1961.25, 0.3612498949995451}
{1961.5, 0.40091584657316226}
{1961.75, 0.42679770518557875}
{1962., 0.4236490992313572}
{1962.25, 0.415094714845775}
{1962.5, 0.43472291183466316}
{1962.75, 0.42824495696340836}
{1963., 0.42739350676188437}
{1963.25, 0.43094913790121986}
{1963.5, 0.43500904639102533}
{1963.75, 0.44513371465859386}
{1964., 0.45077533339376324}
{1964.25, 0.451797066812889}
{1964.5, 0.4587106361907419}
{1964.75, 0.4616653950324019}
{1965., 0.4775049260680729}
{1965.25, 0.5064110534871581}
{1965.5, 0.5046446533617495}
{1965.75, 0.5023367776833623}
{1966., 0.5460157455635821}
{1966.25, 0.5626587635663348}
{1966.5, 0.5592542232692752}
{1966.75, 0.5328565302502333}
{1967., 0.5473324228731857}
{1967.25, 0.553156216393061}
{1967.5, 0.5417941572569852}
{1967.75, 0.543745484184432}
{1968., 0.5668064368137338}
{1968.25, 0.5715175726216266}
{1968.5, 0.5847435534052355}
{1968.75, 0.5742352082000918}
{1969., 0.5670501664894527}
{1969.25, 0.5899488967765202}
{1969.5, 0.5656921590114428}
{1969.75, 0.5469621884105038}
{1970., 0.5314885371751007}
{1970.25, 0.5061770511340145}
{1970.5, 0.4955145363556711}
{1970.75, 0.453649971018646}
{1971., 0.4405284504824194}
{1971.25, 0.438986272885721}
{1971.5, 0.4562494682452865}
{1971.75, 0.45042702692028236}
{1972., 0.44728641103267686}
{1972.25, 0.4569897306377281}
{1972.5, 0.4779717919436455}
{1972.75, 0.4830698792732691}
{1973., 0.4951407467772061}
{1973.25, 0.5300107783514165}
{1973.5, 0.518894896338126}
{1973.75, 0.5002502617649621}
{1974., 0.5144215063194341}
{1974.25, 0.4939398477053006}
{1974.5, 0.4893310230310173}
{1974.75, 0.4116475118722577}
{1975., 0.36344819554474905}
{1975.25, 0.3574016184501061}
{1975.5, 0.3702596453293152}
{1975.75, 0.3667056288859557}
{1976., 0.3878271544960976}
{1976.25, 0.3860367484438819}
{1976.5, 0.39340447045824667}
{1976.75, 0.38888055103448693}
{1977., 0.41957044625032563}
{1977.25, 0.4254692294918705}
{1977.5, 0.4255768271394653}
{1977.75, 0.4380471702748317}
{1978., 0.45414899648441953}
{1978.25, 0.4688929069046913}
{1978.5, 0.4831783851313632}
{1978.75, 0.466242288847068}
{1979., 0.4741562180178863}
{1979.25, 0.48588769936895604}
{1979.5, 0.4854004642227397}
{1979.75, 0.4704101136197828}
{1980., 0.44403868427652116}
{1980.25, 0.4107036029833529}
{1980.5, 0.4083417638474951}
{1980.75, 0.40173523556668106}
{1981., 0.41495112924843813}
{1981.25, 0.4165872223152763}
{1981.5, 0.40147939947825}
{1981.75, 0.40567276272615127}
{1982., 0.3727821823343423}
{1982.25, 0.3476538389933051}
{1982.5, 0.33571442994853185}
{1982.75, 0.32527392574799513}
{1983., 0.3196684267142027}
{1983.25, 0.33844707099260296}
{1983.5, 0.3673215274488144}
{1983.75, 0.3828058412680633}
{1984., 0.38682902894006693}
{1984.25, 0.3945859239155346}
{1984.5, 0.4118390695904429}
{1984.75, 0.4164017732267862}
{1985., 0.41927253202166925}
{1985.25, 0.4164763369512386}
{1985.5, 0.423412462214785}
{1985.75, 0.4352466429469109}
{1986., 0.409415336852041}
{1986.25, 0.4174271533265359}
{1986.5, 0.417230811499139}
{1986.75, 0.427521878619308}
{1987., 0.43275557094352096}
{1987.25, 0.44303121672846474}
{1987.5, 0.4482248137070086}
{1987.75, 0.4579215070998404}
{1988., 0.46054907008271295}
{1988.25, 0.4608973893180968}
{1988.5, 0.4718413608029022}
{1988.75, 0.4637667044476879}
{1989., 0.4959192321163724}
{1989.25, 0.4891926051321372}
{1989.5, 0.4790086097358045}
{1989.75, 0.47886829512023477}
{1990., 0.4825308648716823}
{1990.25, 0.4649939831022264}
