observation_date,B096RC1Q027SBEA_20130228,B096RC1Q027SBEA_20130328,B096RC1Q027SBEA_20130426,B096RC1Q027SBEA_20130731,B096RC1Q027SBEA_20130926,B096RC1Q027SBEA_20131107,B096RC1Q027SBEA_20140130,B096RC1Q027SBEA_20140228,B096RC1Q027SBEA_20140327,B096RC1Q027SBEA_20140430,B096RC1Q027SBEA_20140529,B096RC1Q027SBEA_20140730,B096RC1Q027SBEA_20140926,B096RC1Q027SBEA_20141030,B096RC1Q027SBEA_20150130,B096RC1Q027SBEA_20150227,B096RC1Q027SBEA_20150327,B096RC1Q027SBEA_20150429,B096RC1Q027SBEA_20150730,B096RC1Q027SBEA_20150925,B096RC1Q027SBEA_20151029,B096RC1Q027SBEA_20151222,B096RC1Q027SBEA_20160129,B096RC1Q027SBEA_20160226,B096RC1Q027SBEA_20160325,B096RC1Q027SBEA_20160428,B096RC1Q027SBEA_20160729,B096RC1Q027SBEA_20160929,B096RC1Q027SBEA_20161028,B096RC1Q027SBEA_20161222,B096RC1Q027SBEA_20170127,B096RC1Q027SBEA_20170228,B096RC1Q027SBEA_20170428,B096RC1Q027SBEA_20170526,B096RC1Q027SBEA_20170728,B096RC1Q027SBEA_20170830,B096RC1Q027SBEA_20170928,B096RC1Q027SBEA_20171027,B096RC1Q027SBEA_20171221,B096RC1Q027SBEA_20180126,B096RC1Q027SBEA_20180228,B096RC1Q027SBEA_20180328,B096RC1Q027SBEA_20180427,B096RC1Q027SBEA_20180727,B096RC1Q027SBEA_20180927,B096RC1Q027SBEA_20181026,B096RC1Q027SBEA_20181221,B096RC1Q027SBEA_20190228,B096RC1Q027SBEA_20190426,B096RC1Q027SBEA_20190726,B096RC1Q027SBEA_20190829,B096RC1Q027SBEA_20190926,B096RC1Q027SBEA_20191030,B096RC1Q027SBEA_20191220,B096RC1Q027SBEA_20200130,B096RC1Q027SBEA_20200227,B096RC1Q027SBEA_20200429,B096RC1Q027SBEA_20200730,B096RC1Q027SBEA_20200827,B096RC1Q027SBEA_20200930,B096RC1Q027SBEA_20201029,B096RC1Q027SBEA_20201125,B096RC1Q027SBEA_20201222,B096RC1Q027SBEA_20210128,B096RC1Q027SBEA_20210225
1993-01-01,35.1,35.1,35.1,35.1,35.1,35.1,35.1,35.1,35.1,35.1,35.1,35.1,35.1,35.1,35.1,35.1,35.1,35.1,35.1,35.1,35.1,35.1,35.1,35.1,35.1,35.1,35.1,35.1,35.1,35.1,35.1,35.1,35.1,35.1,35.1,35.1,35.1,35.096,35.096,35.096,35.096,35.096,35.096,35.096,35.096,35.096,35.096,35.096,35.096,35.096,35.096,35.096,35.096,35.096,35.096,35.096,35.096,35.096,35.096,35.096,35.096,35.096,35.096,35.096,35.096
1993-04-01,37.2,37.2,37.2,37.2,37.2,37.2,37.2,37.2,37.2,37.2,37.2,37.2,37.2,37.2,37.2,37.2,37.2,37.2,37.2,37.2,37.2,37.2,37.2,37.2,37.2,37.2,37.2,37.2,37.2,37.2,37.2,37.2,37.2,37.2,37.2,37.2,37.2,37.192,37.192,37.192,37.192,37.192,37.192,37.192,37.192,37.192,37.192,37.192,37.192,37.192,37.192,37.192,37.192,37.192,37.192,37.192,37.192,37.192,37.192,37.192,37.192,37.192,37.192,37.192,37.192
1993-07-01,37.3,37.3,37.3,37.3,37.3,37.3,37.3,37.3,37.3,37.3,37.3,37.3,37.3,37.3,37.3,37.3,37.3,37.3,37.3,37.3,37.3,37.3,37.3,37.3,37.3,37.3,37.3,37.3,37.3,37.3,37.3,37.3,37.3,37.3,37.3,37.3,37.3,37.328,37.328,37.328,37.328,37.328,37.328,37.328,37.328,37.328,37.328,37.328,37.328,37.328,37.328,37.328,37.328,37.328,37.328,37.328,37.328,37.328,37.328,37.328,37.328,37.328,37.328,37.328,37.328
1993-10-01,35.7,35.7,35.7,35.7,35.7,35.7,35.7,35.7,35.7,35.7,35.7,35.7,35.7,35.7,35.7,35.7,35.7,35.7,35.7,35.7,35.7,35.7,35.7,35.7,35.7,35.7,35.7,35.7,35.7,35.7,35.7,35.7,35.7,35.7,35.7,35.7,35.7,35.656,35.656,35.656,35.656,35.656,35.656,35.656,35.656,35.656,35.656,35.656,35.656,35.656,35.656,35.656,35.656,35.656,35.656,35.656,35.656,35.656,35.656,35.656,35.656,35.656,35.656,35.656,35.656
1994-01-01,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.216,33.216,33.216,33.216,33.216,33.216,33.216,33.216,33.216,33.216,33.216,33.216,33.216,33.216,33.216,33.216,33.216,33.216,33.216,33.216,33.216,33.216,33.216,33.216,33.216,33.216,33.216,33.216
1994-04-01,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.032,32.032,32.032,32.032,32.032,32.032,32.032,32.032,32.032,32.032,32.032,32.032,32.032,32.032,32.032,32.032,32.032,32.032,32.032,32.032,32.032,32.032,32.032,32.032,32.032,32.032,32.032,32.032
1994-07-01,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.608,31.608,31.608,31.608,31.608,31.608,31.608,31.608,31.608,31.608,31.608,31.608,31.608,31.608,31.608,31.608,31.608,31.608,31.608,31.608,31.608,31.608,31.608,31.608,31.608,31.608,31.608,31.608
1994-10-01,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.876,31.876,31.876,31.876,31.876,31.876,31.876,31.876,31.876,31.876,31.876,31.876,31.876,31.876,31.876,31.876,31.876,31.876,31.876,31.876,31.876,31.876,31.876,31.876,31.876,31.876,31.876,31.876
1995-01-01,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.648,33.648,33.648,33.648,33.648,33.648,33.648,33.648,33.648,33.648,33.648,33.648,33.648,33.648,33.648,33.648,33.648,33.648,33.648,33.648,33.648,33.648,33.648,33.648,33.648,33.648,33.648,33.648
1995-04-01,34.3,34.3,34.3,34.3,34.3,34.3,34.3,34.3,34.3,34.3,34.3,34.3,34.3,34.3,34.3,34.3,34.3,34.3,34.3,34.3,34.3,34.3,34.3,34.3,34.3,34.3,34.3,34.3,34.3,34.3,34.3,34.3,34.3,34.3,34.3,34.3,34.3,34.304,34.304,34.304,34.304,34.304,34.304,34.304,34.304,34.304,34.304,34.304,34.304,34.304,34.304,34.304,34.304,34.304,34.304,34.304,34.304,34.304,34.304,34.304,34.304,34.304,34.304,34.304,34.304
1995-07-01,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.84,34.84,34.84,34.84,34.84,34.84,34.84,34.84,34.84,34.84,34.84,34.84,34.84,34.84,34.84,34.84,34.84,34.84,34.84,34.84,34.84,34.84,34.84,34.84,34.84,34.84,34.84,34.84
1995-10-01,35.2,35.2,35.2,35.2,35.2,35.2,35.2,35.2,35.2,35.2,35.2,35.2,35.2,35.2,35.2,35.2,35.2,35.2,35.2,35.2,35.2,35.2,35.2,35.2,35.2,35.2,35.2,35.2,35.2,35.2,35.2,35.2,35.2,35.2,35.2,35.2,35.2,35.216,35.216,35.216,35.216,35.216,35.216,35.216,35.216,35.216,35.216,35.216,35.216,35.216,35.216,35.216,35.216,35.216,35.216,35.216,35.216,35.216,35.216,35.216,35.216,35.216,35.216,35.216,35.216
1996-01-01,35.2,35.2,35.2,35.2,35.2,35.2,35.2,35.2,35.2,35.2,35.2,35.2,35.2,35.2,35.2,35.2,35.2,35.2,35.2,35.2,35.2,35.2,35.2,35.2,35.2,35.2,35.2,35.2,35.2,35.2,35.2,35.2,35.2,35.2,35.2,35.2,35.2,35.196,35.196,35.196,35.196,35.196,35.196,35.196,35.196,35.196,35.196,35.196,35.196,35.196,35.196,35.196,35.196,35.196,35.196,35.196,35.196,35.196,35.196,35.196,35.196,35.196,35.196,35.196,35.196
1996-04-01,35.1,35.1,35.1,35.1,35.1,35.1,35.1,35.1,35.1,35.1,35.1,35.1,35.1,35.1,35.1,35.1,35.1,35.1,35.1,35.1,35.1,35.1,35.1,35.1,35.1,35.1,35.1,35.1,35.1,35.1,35.1,35.1,35.1,35.1,35.1,35.1,35.1,35.116,35.116,35.116,35.116,35.116,35.116,35.116,35.116,35.116,35.116,35.116,35.116,35.116,35.116,35.116,35.116,35.116,35.116,35.116,35.116,35.116,35.116,35.116,35.116,35.116,35.116,35.116,35.116
1996-07-01,34.9,34.9,34.9,34.9,34.9,34.9,34.9,34.9,34.9,34.9,34.9,34.9,34.9,34.9,34.9,34.9,34.9,34.9,34.9,34.9,34.9,34.9,34.9,34.9,34.9,34.9,34.9,34.9,34.9,34.9,34.9,34.9,34.9,34.9,34.9,34.9,34.9,34.856,34.856,34.856,34.856,34.856,34.856,34.856,34.856,34.856,34.856,34.856,34.856,34.856,34.856,34.856,34.856,34.856,34.856,34.856,34.856,34.856,34.856,34.856,34.856,34.856,34.856,34.856,34.856
1996-10-01,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.444,34.444,34.444,34.444,34.444,34.444,34.444,34.444,34.444,34.444,34.444,34.444,34.444,34.444,34.444,34.444,34.444,34.444,34.444,34.444,34.444,34.444,34.444,34.444,34.444,34.444,34.444,34.444
1997-01-01,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,33.968,33.968,33.968,33.968,33.968,33.968,33.968,33.968,33.968,33.968,33.968,33.968,33.968,33.968,33.968,33.968,33.968,33.968,33.968,33.968,33.968,33.968,33.968,33.968,33.968,33.968,33.968,33.968
1997-04-01,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.216,33.216,33.216,33.216,33.216,33.216,33.216,33.216,33.216,33.216,33.216,33.216,33.216,33.216,33.216,33.216,33.216,33.216,33.216,33.216,33.216,33.216,33.216,33.216,33.216,33.216,33.216,33.216
1997-07-01,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,32.984,32.984,32.984,32.984,32.984,32.984,32.984,32.984,32.984,32.984,32.984,32.984,32.984,32.984,32.984,32.984,32.984,32.984,32.984,32.984,32.984,32.984,32.984,32.984,32.984,32.984,32.984,32.984
1997-10-01,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.328,33.328,33.328,33.328,33.328,33.328,33.328,33.328,33.328,33.328,33.328,33.328,33.328,33.328,33.328,33.328,33.328,33.328,33.328,33.328,33.328,33.328,33.328,33.328,33.328,33.328,33.328,33.328
1998-01-01,33.4,33.4,33.4,33.4,33.4,33.4,33.4,33.4,33.4,33.4,33.4,33.4,33.4,33.4,33.4,33.4,33.4,33.4,33.4,33.4,33.4,33.4,33.4,33.4,33.4,33.4,33.4,33.4,33.4,33.4,33.4,33.4,33.4,33.4,33.4,33.4,33.4,33.356,33.356,33.356,33.356,33.356,33.356,33.356,33.356,33.356,33.356,33.356,33.356,33.356,33.356,33.356,33.356,33.356,33.356,33.356,33.356,33.356,33.356,33.356,33.356,33.356,33.356,33.356,33.356
1998-04-01,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.556,34.556,34.556,34.556,34.556,34.556,34.556,34.556,34.556,34.556,34.556,34.556,34.556,34.556,34.556,34.556,34.556,34.556,34.556,34.556,34.556,34.556,34.556,34.556,34.556,34.556,34.556,34.556
1998-07-01,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.34,36.34,36.34,36.34,36.34,36.34,36.34,36.34,36.34,36.34,36.34,36.34,36.34,36.34,36.34,36.34,36.34,36.34,36.34,36.34,36.34,36.34,36.34,36.34,36.34,36.34,36.34,36.34
1998-10-01,39.4,39.4,39.4,39.4,39.4,39.4,39.4,39.4,39.4,39.4,39.4,39.4,39.4,39.4,39.4,39.4,39.4,39.4,39.4,39.4,39.4,39.4,39.4,39.4,39.4,39.4,39.4,39.4,39.4,39.4,39.4,39.4,39.4,39.4,39.4,39.4,39.4,39.436,39.436,39.436,39.436,39.436,39.436,39.436,39.436,39.436,39.436,39.436,39.436,39.436,39.436,39.436,39.436,39.436,39.436,39.436,39.436,39.436,39.436,39.436,39.436,39.436,39.436,39.436,39.436
1999-01-01,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.028,42.028,42.028,42.028,42.028,42.028,42.028,42.028,42.028,42.028,42.028,42.028,42.028,42.028,42.028,42.028,42.028,42.028,42.028,42.028,42.028,42.028,42.028,42.028,42.028,42.028,42.028,42.028
1999-04-01,44.6,44.6,44.6,44.6,44.6,44.6,44.6,44.6,44.6,44.6,44.6,44.6,44.6,44.6,44.6,44.6,44.6,44.6,44.6,44.6,44.6,44.6,44.6,44.6,44.6,44.6,44.6,44.6,44.6,44.6,44.6,44.6,44.6,44.6,44.6,44.6,44.6,44.608,44.608,44.608,44.608,44.608,44.608,44.608,44.608,44.608,44.608,44.608,44.608,44.608,44.608,44.608,44.608,44.608,44.608,44.608,44.608,44.608,44.608,44.608,44.608,44.608,44.608,44.608,44.608
1999-07-01,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.02,46.02,46.02,46.02,46.02,46.02,46.02,46.02,46.02,46.02,46.02,46.02,46.02,46.02,46.02,46.02,46.02,46.02,46.02,46.02,46.02,46.02,46.02,46.02,46.02,46.02,46.02,46.02
1999-10-01,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.464,46.464,46.464,46.464,46.464,46.464,46.464,46.464,46.464,46.464,46.464,46.464,46.464,46.464,46.464,46.464,46.464,46.464,46.464,46.464,46.464,46.464,46.464,46.464,46.464,46.464,46.464,46.464
2000-01-01,44.6,44.6,44.6,44.6,44.6,44.6,44.6,44.6,44.6,44.6,44.6,44.6,44.6,44.6,44.6,44.6,44.6,44.6,44.6,44.6,44.6,44.6,44.6,44.6,44.6,44.6,44.6,44.6,44.6,44.6,44.6,44.6,44.6,44.6,44.6,44.6,44.6,44.584,44.584,44.584,44.584,44.584,44.584,44.584,44.584,44.584,44.584,44.584,44.584,44.584,44.584,44.584,44.584,44.584,44.584,44.584,44.584,44.584,44.584,44.584,44.584,44.584,44.584,44.584,44.584
2000-04-01,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,44.956,44.956,44.956,44.956,44.956,44.956,44.956,44.956,44.956,44.956,44.956,44.956,44.956,44.956,44.956,44.956,44.956,44.956,44.956,44.956,44.956,44.956,44.956,44.956,44.956,44.956,44.956,44.956
2000-07-01,45.3,45.3,45.3,45.3,45.3,45.3,45.3,45.3,45.3,45.3,45.3,45.3,45.3,45.3,45.3,45.3,45.3,45.3,45.3,45.3,45.3,45.3,45.3,45.3,45.3,45.3,45.3,45.3,45.3,45.3,45.3,45.3,45.3,45.3,45.3,45.3,45.3,45.268,45.268,45.268,45.268,45.268,45.268,45.268,45.268,45.268,45.268,45.268,45.268,45.268,45.268,45.268,45.268,45.268,45.268,45.268,45.268,45.268,45.268,45.268,45.268,45.268,45.268,45.268,45.268
2000-10-01,46.4,46.4,46.4,46.4,46.4,46.4,46.4,46.4,46.4,46.4,46.4,46.4,46.4,46.4,46.4,46.4,46.4,46.4,46.4,46.4,46.4,46.4,46.4,46.4,46.4,46.4,46.4,46.4,46.4,46.4,46.4,46.4,46.4,46.4,46.4,46.4,46.4,46.416,46.416,46.416,46.416,46.416,46.416,46.416,46.416,46.416,46.416,46.416,46.416,46.416,46.416,46.416,46.416,46.416,46.416,46.416,46.416,46.416,46.416,46.416,46.416,46.416,46.416,46.416,46.416
2001-01-01,47.2,47.2,47.2,47.2,47.2,47.2,47.2,47.2,47.2,47.2,47.2,47.2,47.2,47.2,47.2,47.2,47.2,47.2,47.2,47.2,47.2,47.2,47.2,47.2,47.2,47.2,47.2,47.2,47.2,47.2,47.2,47.2,47.2,47.2,47.2,47.2,47.2,47.188,47.188,47.188,47.188,47.188,47.188,47.188,47.188,47.188,47.188,47.188,47.188,47.188,47.188,47.188,47.188,47.188,47.188,47.188,47.188,47.188,47.188,47.188,47.188,47.188,47.188,47.188,47.188
2001-04-01,47.6,47.6,47.6,47.6,47.6,47.6,47.6,47.6,47.6,47.6,47.6,47.6,47.6,47.6,47.6,47.6,47.6,47.6,47.6,47.6,47.6,47.6,47.6,47.6,47.6,47.6,47.6,47.6,47.6,47.6,47.6,47.6,47.6,47.6,47.6,47.6,47.6,47.632,47.632,47.632,47.632,47.632,47.632,47.632,47.632,47.632,47.632,47.632,47.632,47.632,47.632,47.632,47.632,47.632,47.632,47.632,47.632,47.632,47.632,47.632,47.632,47.632,47.632,47.632,47.632
2001-07-01,66.3,66.3,66.3,66.3,66.3,66.3,66.3,66.3,66.3,66.3,66.3,66.3,66.3,66.3,66.3,66.3,66.3,66.3,66.3,66.3,66.3,66.3,66.3,66.3,66.3,66.3,66.3,66.3,66.3,66.3,66.3,66.3,66.3,66.3,66.3,66.3,66.3,66.328,66.328,66.328,66.328,66.328,66.328,66.328,66.328,66.328,66.328,66.328,66.328,66.328,66.328,66.328,66.328,66.328,66.328,66.328,66.328,66.328,66.328,66.328,66.328,66.328,66.328,66.328,66.328
2001-10-01,43.1,43.1,43.1,43.1,43.1,43.1,43.1,43.1,43.1,43.1,43.1,43.1,43.1,43.1,43.1,43.1,43.1,43.1,43.1,43.1,43.1,43.1,43.1,43.1,43.1,43.1,43.1,43.1,43.1,43.1,43.1,43.1,43.1,43.1,43.1,43.1,43.1,43.08,43.08,43.08,43.08,43.08,43.08,43.08,43.08,43.08,43.08,43.08,43.08,43.08,43.08,43.08,43.08,43.08,43.08,43.08,43.08,43.08,43.08,43.08,43.08,43.08,43.08,43.08,43.08
2002-01-01,40.8,40.8,40.8,40.8,40.8,40.8,40.8,40.8,40.8,40.8,40.8,40.8,40.8,40.8,40.8,40.8,40.8,40.8,40.8,40.8,40.8,40.8,40.8,40.8,40.8,40.8,40.8,40.8,40.8,40.8,40.8,40.8,40.8,40.8,40.8,40.8,40.8,40.808,40.808,40.808,40.808,40.808,40.808,40.744,40.744,40.744,40.744,40.744,40.744,40.744,40.744,40.744,40.744,40.744,40.744,40.744,40.744,40.744,40.744,40.744,40.744,40.744,40.744,40.744,40.744
2002-04-01,39.3,39.3,39.3,39.3,39.3,39.3,39.3,39.3,39.3,39.3,39.3,39.3,39.3,39.3,39.3,39.3,39.3,39.3,39.3,39.3,39.3,39.3,39.3,39.3,39.3,39.3,39.3,39.3,39.3,39.3,39.3,39.3,39.3,39.3,39.3,39.3,39.3,39.256,39.256,39.256,39.256,39.256,39.256,39.235,39.235,39.235,39.235,39.235,39.235,39.235,39.235,39.235,39.235,39.235,39.235,39.235,39.235,39.235,39.235,39.235,39.235,39.235,39.235,39.235,39.235
2002-07-01,39.7,39.7,39.7,39.7,39.7,39.7,39.7,39.7,39.7,39.7,39.7,39.7,39.7,39.7,39.7,39.7,39.7,39.7,39.7,39.7,39.7,39.7,39.7,39.7,39.7,39.7,39.7,39.7,39.7,39.7,39.7,39.7,39.7,39.7,39.7,39.7,39.7,39.688,39.688,39.688,39.688,39.688,39.688,39.654,39.654,39.654,39.654,39.654,39.654,39.654,39.654,39.654,39.654,39.654,39.654,39.654,39.654,39.654,39.654,39.654,39.654,39.654,39.654,39.654,39.654
2002-10-01,42.2,42.2,42.2,42.2,42.2,42.2,42.2,42.2,42.2,42.2,42.2,42.2,42.2,42.2,42.2,42.2,42.2,42.2,42.2,42.2,42.2,42.2,42.2,42.2,42.2,42.2,42.2,42.2,42.2,42.2,42.2,42.2,42.2,42.2,42.2,42.2,42.2,42.172,42.172,42.172,42.172,42.172,42.172,42.282,42.282,42.282,42.282,42.282,42.282,42.282,42.282,42.282,42.282,42.282,42.282,42.282,42.282,42.282,42.282,42.282,42.282,42.282,42.282,42.282,42.282
2003-01-01,44.8,44.8,44.8,44.9,44.9,44.9,44.9,44.9,44.9,44.9,44.9,44.9,44.9,44.9,44.9,44.9,44.9,44.9,44.9,44.9,44.9,44.9,44.9,44.9,44.9,44.9,44.9,44.9,44.9,44.9,44.9,44.9,44.9,44.9,44.9,44.9,44.9,44.887,44.887,44.887,44.887,44.887,44.887,47.033,47.033,47.033,47.033,47.033,47.033,47.033,47.033,47.033,47.033,47.033,47.033,47.033,47.033,47.033,47.033,47.033,47.033,47.033,47.033,47.033,47.033
2003-04-01,56.8,56.8,56.8,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.735,56.735,56.735,56.735,56.735,56.735,56.795,56.795,56.795,56.795,56.795,56.795,56.795,56.795,56.795,56.795,56.795,56.795,56.795,56.795,56.795,56.795,56.795,56.795,56.795,56.795,56.795,56.795
2003-07-01,48.0,48.0,48.0,47.9,47.9,47.9,47.9,47.9,47.9,47.9,47.9,47.9,47.9,47.9,47.9,47.9,47.9,47.9,47.9,47.9,47.9,47.9,47.9,47.9,47.9,47.9,47.9,47.9,47.9,47.9,47.9,47.9,47.9,47.9,47.9,47.9,47.9,47.949,47.949,47.949,47.949,47.949,47.949,46.922,46.922,46.922,46.922,46.922,46.922,46.922,46.922,46.922,46.922,46.922,46.922,46.922,46.922,46.922,46.922,46.922,46.922,46.922,46.922,46.922,46.922
2003-10-01,46.4,46.4,46.4,46.3,46.3,46.3,46.3,46.3,46.3,46.3,46.3,46.3,46.3,46.3,46.3,46.3,46.3,46.3,46.3,46.3,46.3,46.3,46.3,46.3,46.3,46.3,46.3,46.3,46.3,46.3,46.3,46.3,46.3,46.3,46.3,46.3,46.3,46.324,46.324,46.324,46.324,46.324,46.324,45.143,45.143,45.143,45.143,45.143,45.143,45.143,45.143,45.143,45.143,45.143,45.143,45.143,45.143,45.143,45.143,45.143,45.143,45.143,45.143,45.143,45.143
2004-01-01,44.5,44.5,44.5,44.4,44.4,44.4,44.4,44.4,44.4,44.4,44.4,44.4,44.4,44.4,44.4,44.4,44.4,44.4,44.4,44.4,44.4,44.4,44.4,44.4,44.4,44.4,44.4,44.4,44.4,44.4,44.4,44.4,44.4,44.4,44.4,44.4,44.4,44.35,44.35,44.35,44.35,44.35,44.35,43.87,43.87,43.87,43.87,43.87,43.87,43.87,43.87,43.87,43.87,43.87,43.87,43.87,43.87,43.87,43.87,43.87,43.87,43.87,43.87,43.87,43.87
2004-04-01,43.2,43.2,43.2,43.3,43.3,43.3,43.3,43.3,43.3,43.3,43.3,43.3,43.3,43.3,43.3,43.3,43.3,43.3,43.3,43.3,43.3,43.3,43.3,43.3,43.3,43.3,43.3,43.3,43.3,43.3,43.3,43.3,43.3,43.3,43.3,43.3,43.3,43.286,43.286,43.286,43.286,43.286,43.286,43.293,43.293,43.293,43.293,43.293,43.293,43.293,43.293,43.293,43.293,43.293,43.293,43.293,43.293,43.293,43.293,43.293,43.293,43.293,43.293,43.293,43.293
2004-07-01,44.6,44.6,44.6,44.8,44.8,44.8,44.8,44.8,44.8,44.8,44.8,44.8,44.8,44.8,44.8,44.8,44.8,44.8,44.8,44.8,44.8,44.8,44.8,44.8,44.8,44.8,44.8,44.8,44.8,44.8,44.8,44.8,44.8,44.8,44.8,44.8,44.8,44.753,44.753,44.753,44.753,44.753,44.753,45.011,45.011,45.011,45.011,45.011,45.011,45.011,45.011,45.011,45.011,45.011,45.011,45.011,45.011,45.011,45.011,45.011,45.011,45.011,45.011,45.011,45.011
2004-10-01,51.8,51.8,51.8,51.7,51.7,51.7,51.7,51.7,51.7,51.7,51.7,51.7,51.7,51.7,51.7,51.7,51.7,51.7,51.7,51.7,51.7,51.7,51.7,51.7,51.7,51.7,51.7,51.7,51.7,51.7,51.7,51.7,51.7,51.7,51.7,51.7,51.7,51.682,51.682,51.682,51.682,51.682,51.682,51.896,51.896,51.896,51.896,51.896,51.896,51.896,51.896,51.896,51.896,51.896,51.896,51.896,51.896,51.896,51.896,51.896,51.896,51.896,51.896,51.896,51.896
