observation_date,A006RD3Q086SBEA_20130228,A006RD3Q086SBEA_20130328,A006RD3Q086SBEA_20130426,A006RD3Q086SBEA_20130530,A006RD3Q086SBEA_20130626,A006RD3Q086SBEA_20130731,A006RD3Q086SBEA_20140110,A006RD3Q086SBEA_20140130,A006RD3Q086SBEA_20140228,A006RD3Q086SBEA_20140327,A006RD3Q086SBEA_20140430,A006RD3Q086SBEA_20140529,A006RD3Q086SBEA_20140625,A006RD3Q086SBEA_20140730,A006RD3Q086SBEA_20140828,A006RD3Q086SBEA_20140926,A006RD3Q086SBEA_20141030,A006RD3Q086SBEA_20141125,A006RD3Q086SBEA_20141223,A006RD3Q086SBEA_20150130,A006RD3Q086SBEA_20150227,A006RD3Q086SBEA_20150327,A006RD3Q086SBEA_20150429,A006RD3Q086SBEA_20150529,A006RD3Q086SBEA_20150624,A006RD3Q086SBEA_20150730,A006RD3Q086SBEA_20150827,A006RD3Q086SBEA_20150925,A006RD3Q086SBEA_20151029,A006RD3Q086SBEA_20151124,A006RD3Q086SBEA_20151222,A006RD3Q086SBEA_20160129,A006RD3Q086SBEA_20160226,A006RD3Q086SBEA_20160325,A006RD3Q086SBEA_20160428,A006RD3Q086SBEA_20160527,A006RD3Q086SBEA_20160628,A006RD3Q086SBEA_20160729,A006RD3Q086SBEA_20160826,A006RD3Q086SBEA_20160929,A006RD3Q086SBEA_20161028,A006RD3Q086SBEA_20161129,A006RD3Q086SBEA_20170127,A006RD3Q086SBEA_20170228,A006RD3Q086SBEA_20170330,A006RD3Q086SBEA_20170428,A006RD3Q086SBEA_20170526,A006RD3Q086SBEA_20170629,A006RD3Q086SBEA_20170728,A006RD3Q086SBEA_20170830,A006RD3Q086SBEA_20170928,A006RD3Q086SBEA_20171027,A006RD3Q086SBEA_20171129,A006RD3Q086SBEA_20171221,A006RD3Q086SBEA_20180126,A006RD3Q086SBEA_20180228,A006RD3Q086SBEA_20180328,A006RD3Q086SBEA_20180427,A006RD3Q086SBEA_20180530,A006RD3Q086SBEA_20180628,A006RD3Q086SBEA_20180727,A006RD3Q086SBEA_20180829,A006RD3Q086SBEA_20180927,A006RD3Q086SBEA_20181026,A006RD3Q086SBEA_20181128,A006RD3Q086SBEA_20181221,A006RD3Q086SBEA_20190228,A006RD3Q086SBEA_20190328,A006RD3Q086SBEA_20190426,A006RD3Q086SBEA_20190530,A006RD3Q086SBEA_20190627,A006RD3Q086SBEA_20190726,A006RD3Q086SBEA_20190829,A006RD3Q086SBEA_20190926,A006RD3Q086SBEA_20191030,A006RD3Q086SBEA_20191127,A006RD3Q086SBEA_20191220,A006RD3Q086SBEA_20200130,A006RD3Q086SBEA_20200227,A006RD3Q086SBEA_20200326,A006RD3Q086SBEA_20200429,A006RD3Q086SBEA_20200528,A006RD3Q086SBEA_20200625,A006RD3Q086SBEA_20200730
1987-01-01,81.177,81.177,81.177,81.177,81.177,74.22,74.22,74.22,74.22,74.22,74.22,74.22,74.22,74.22,74.22,74.22,74.22,74.22,74.22,74.22,74.22,74.22,74.22,74.22,74.22,74.22,74.22,74.22,74.22,74.22,74.22,74.22,74.22,74.22,74.22,74.22,74.22,74.22,74.22,74.22,74.22,74.22,74.22,74.22,74.22,74.22,74.22,74.22,74.22,74.22,74.22,74.22,74.22,74.22,74.22,74.22,74.22,74.22,74.22,74.22,75.278,75.278,75.278,75.278,75.278,75.278,75.278,75.278,75.278,75.278,75.278,75.278,75.278,75.278,75.278,75.278,75.278,75.278,75.278,75.278,75.278,75.278,75.278,75.278
1987-04-01,81.344,81.344,81.344,81.344,81.344,74.47,74.47,74.47,74.47,74.47,74.47,74.47,74.47,74.47,74.47,74.47,74.47,74.47,74.47,74.47,74.47,74.47,74.47,74.47,74.47,74.47,74.47,74.47,74.47,74.47,74.47,74.47,74.47,74.47,74.47,74.47,74.47,74.47,74.47,74.47,74.47,74.47,74.47,74.47,74.47,74.47,74.47,74.47,74.47,74.47,74.47,74.47,74.47,74.47,74.47,74.47,74.47,74.47,74.47,74.47,75.532,75.532,75.532,75.532,75.532,75.532,75.532,75.532,75.532,75.532,75.532,75.532,75.532,75.532,75.532,75.532,75.532,75.532,75.532,75.532,75.532,75.532,75.532,75.532
1987-07-01,81.461,81.461,81.461,81.461,81.461,74.62,74.62,74.62,74.62,74.62,74.62,74.62,74.62,74.62,74.62,74.62,74.62,74.62,74.62,74.62,74.62,74.62,74.62,74.62,74.62,74.62,74.62,74.62,74.62,74.62,74.62,74.62,74.62,74.62,74.62,74.62,74.62,74.62,74.62,74.62,74.62,74.62,74.62,74.62,74.62,74.62,74.62,74.62,74.62,74.62,74.62,74.62,74.62,74.62,74.62,74.62,74.62,74.62,74.62,74.62,75.683,75.683,75.683,75.683,75.683,75.683,75.683,75.683,75.683,75.683,75.683,75.683,75.683,75.683,75.683,75.683,75.683,75.683,75.683,75.683,75.683,75.683,75.683,75.683
1987-10-01,82.276,82.276,82.276,82.276,82.276,75.438,75.438,75.438,75.438,75.438,75.438,75.438,75.438,75.438,75.438,75.438,75.438,75.438,75.438,75.438,75.438,75.438,75.438,75.438,75.438,75.438,75.438,75.438,75.438,75.438,75.438,75.438,75.438,75.438,75.438,75.438,75.438,75.438,75.438,75.438,75.438,75.438,75.438,75.438,75.438,75.438,75.438,75.438,75.438,75.438,75.438,75.438,75.438,75.438,75.438,75.438,75.438,75.438,75.438,75.438,76.513,76.513,76.513,76.513,76.513,76.513,76.513,76.513,76.513,76.513,76.513,76.513,76.513,76.513,76.513,76.513,76.513,76.513,76.513,76.513,76.513,76.513,76.513,76.513
1988-01-01,83.005,83.005,83.005,83.005,83.005,76.069,76.069,76.069,76.069,76.069,76.069,76.069,76.069,76.069,76.069,76.069,76.069,76.069,76.069,76.069,76.069,76.069,76.069,76.069,76.069,76.069,76.069,76.069,76.069,76.069,76.069,76.069,76.069,76.069,76.069,76.069,76.069,76.069,76.069,76.069,76.069,76.069,76.069,76.069,76.069,76.069,76.069,76.069,76.069,76.069,76.069,76.069,76.069,76.069,76.069,76.069,76.069,76.069,76.069,76.069,77.154,77.154,77.154,77.154,77.154,77.154,77.154,77.154,77.154,77.154,77.154,77.154,77.154,77.154,77.154,77.154,77.154,77.154,77.154,77.154,77.154,77.154,77.154,77.154
1988-04-01,83.353,83.353,83.353,83.353,83.353,76.422,76.422,76.422,76.422,76.422,76.422,76.422,76.422,76.422,76.422,76.422,76.422,76.422,76.422,76.422,76.422,76.422,76.422,76.422,76.422,76.422,76.422,76.422,76.422,76.422,76.422,76.422,76.422,76.422,76.422,76.422,76.422,76.422,76.422,76.422,76.422,76.422,76.422,76.422,76.422,76.422,76.422,76.422,76.422,76.422,76.422,76.422,76.422,76.422,76.422,76.422,76.422,76.422,76.422,76.422,77.511,77.511,77.511,77.511,77.511,77.511,77.511,77.511,77.511,77.511,77.511,77.511,77.511,77.511,77.511,77.511,77.511,77.511,77.511,77.511,77.511,77.511,77.511,77.511
1988-07-01,83.355,83.355,83.355,83.355,83.355,76.607,76.607,76.607,76.607,76.607,76.607,76.607,76.607,76.607,76.607,76.607,76.607,76.607,76.607,76.607,76.607,76.607,76.607,76.607,76.607,76.607,76.607,76.607,76.607,76.607,76.607,76.607,76.607,76.607,76.607,76.607,76.607,76.607,76.607,76.607,76.607,76.607,76.607,76.607,76.607,76.607,76.607,76.607,76.607,76.607,76.607,76.607,76.607,76.607,76.607,76.607,76.607,76.607,76.607,76.607,77.7,77.7,77.7,77.7,77.7,77.7,77.7,77.7,77.7,77.7,77.7,77.7,77.7,77.7,77.7,77.7,77.7,77.7,77.7,77.7,77.7,77.7,77.7,77.7
1988-10-01,83.951,83.951,83.951,83.951,83.951,77.116,77.116,77.116,77.116,77.116,77.116,77.116,77.116,77.116,77.116,77.116,77.116,77.116,77.116,77.116,77.116,77.116,77.116,77.116,77.116,77.116,77.116,77.116,77.116,77.116,77.116,77.116,77.116,77.116,77.116,77.116,77.116,77.116,77.116,77.116,77.116,77.116,77.116,77.116,77.116,77.116,77.116,77.116,77.116,77.116,77.116,77.116,77.116,77.116,77.116,77.116,77.116,77.116,77.116,77.116,78.217,78.217,78.217,78.217,78.217,78.217,78.217,78.217,78.217,78.217,78.217,78.217,78.217,78.217,78.217,78.217,78.217,78.217,78.217,78.217,78.217,78.217,78.217,78.217
1989-01-01,84.829,84.829,84.829,84.829,84.829,77.894,77.894,77.894,77.894,77.894,77.894,77.894,77.894,77.894,77.894,77.894,77.894,77.894,77.894,77.894,77.894,77.894,77.894,77.894,77.894,77.894,77.894,77.894,77.894,77.894,77.894,77.894,77.894,77.894,77.894,77.894,77.894,77.894,77.894,77.894,77.894,77.894,77.894,77.894,77.894,77.894,77.894,77.894,77.894,77.894,77.894,77.894,77.894,77.894,77.894,77.894,77.894,77.894,77.894,77.894,79.008,79.008,79.008,79.008,79.008,79.008,79.008,79.008,79.008,79.008,79.008,79.008,79.008,79.008,79.008,79.008,79.008,79.008,79.008,79.008,79.008,79.008,79.008,79.008
1989-04-01,85.261,85.261,85.261,85.261,85.261,78.307,78.307,78.307,78.307,78.307,78.307,78.307,78.307,78.307,78.307,78.307,78.307,78.307,78.307,78.307,78.307,78.307,78.307,78.307,78.307,78.307,78.307,78.307,78.307,78.307,78.307,78.307,78.307,78.307,78.307,78.307,78.307,78.307,78.307,78.307,78.307,78.307,78.307,78.307,78.307,78.307,78.307,78.307,78.307,78.307,78.307,78.307,78.307,78.307,78.307,78.307,78.307,78.307,78.307,78.307,79.427,79.427,79.427,79.427,79.427,79.427,79.427,79.427,79.427,79.427,79.427,79.427,79.427,79.427,79.427,79.427,79.427,79.427,79.427,79.427,79.427,79.427,79.427,79.427
1989-07-01,85.503,85.503,85.503,85.503,85.503,78.654,78.654,78.654,78.654,78.654,78.654,78.654,78.654,78.654,78.654,78.654,78.654,78.654,78.654,78.654,78.654,78.654,78.654,78.654,78.654,78.654,78.654,78.654,78.654,78.654,78.654,78.654,78.654,78.654,78.654,78.654,78.654,78.654,78.654,78.654,78.654,78.654,78.654,78.654,78.654,78.654,78.654,78.654,78.654,78.654,78.654,78.654,78.654,78.654,78.654,78.654,78.654,78.654,78.654,78.654,79.78,79.78,79.78,79.78,79.78,79.78,79.78,79.78,79.78,79.78,79.78,79.78,79.78,79.78,79.78,79.78,79.78,79.78,79.78,79.78,79.78,79.78,79.78,79.78
1989-10-01,86.085,86.085,86.085,86.085,86.085,79.19,79.19,79.19,79.19,79.19,79.19,79.19,79.19,79.19,79.19,79.19,79.19,79.19,79.19,79.19,79.19,79.19,79.19,79.19,79.19,79.19,79.19,79.19,79.19,79.19,79.19,79.19,79.19,79.19,79.19,79.19,79.19,79.19,79.19,79.19,79.19,79.19,79.19,79.19,79.19,79.19,79.19,79.19,79.19,79.19,79.19,79.19,79.19,79.19,79.19,79.19,79.19,79.19,79.19,79.19,80.324,80.324,80.324,80.324,80.324,80.324,80.324,80.324,80.324,80.324,80.324,80.324,80.324,80.324,80.324,80.324,80.324,80.324,80.324,80.324,80.324,80.324,80.324,80.324
1990-01-01,86.498,86.498,86.498,86.498,86.498,79.595,79.595,79.595,79.595,79.595,79.595,79.595,79.595,79.595,79.595,79.595,79.595,79.595,79.595,79.595,79.595,79.595,79.595,79.595,79.595,79.595,79.595,79.595,79.595,79.595,79.595,79.595,79.595,79.595,79.595,79.595,79.595,79.595,79.595,79.595,79.595,79.595,79.595,79.595,79.595,79.595,79.595,79.595,79.595,79.595,79.595,79.595,79.595,79.595,79.595,79.595,79.595,79.595,79.595,79.595,80.734,80.734,80.734,80.734,80.734,80.734,80.734,80.734,80.734,80.734,80.734,80.734,80.734,80.734,80.734,80.734,80.734,80.734,80.734,80.734,80.734,80.734,80.734,80.734
1990-04-01,86.72,86.72,86.72,86.72,86.72,79.874,79.874,79.874,79.874,79.874,79.874,79.874,79.874,79.874,79.874,79.874,79.874,79.874,79.874,79.874,79.874,79.874,79.874,79.874,79.874,79.874,79.874,79.874,79.874,79.874,79.874,79.874,79.874,79.874,79.874,79.874,79.874,79.874,79.874,79.874,79.874,79.874,79.874,79.874,79.874,79.874,79.874,79.874,79.874,79.874,79.874,79.874,79.874,79.874,79.874,79.874,79.874,79.874,79.874,79.874,81.019,81.019,81.019,81.019,81.019,81.019,81.019,81.019,81.019,81.019,81.019,81.019,81.019,81.019,81.019,81.019,81.019,81.019,81.019,81.019,81.019,81.019,81.019,81.019
1990-07-01,87.231,87.231,87.231,87.231,87.231,80.332,80.332,80.332,80.332,80.332,80.332,80.332,80.332,80.332,80.332,80.332,80.332,80.332,80.332,80.332,80.332,80.332,80.332,80.332,80.332,80.332,80.332,80.332,80.332,80.332,80.332,80.332,80.332,80.332,80.332,80.332,80.332,80.332,80.332,80.332,80.332,80.332,80.332,80.332,80.332,80.332,80.332,80.332,80.332,80.332,80.332,80.332,80.332,80.332,80.332,80.332,80.332,80.332,80.332,80.332,81.486,81.486,81.486,81.486,81.486,81.486,81.486,81.486,81.486,81.486,81.486,81.486,81.486,81.486,81.486,81.486,81.486,81.486,81.486,81.486,81.486,81.486,81.486,81.486
1990-10-01,87.512,87.512,87.512,87.512,87.512,80.556,80.556,80.556,80.556,80.556,80.556,80.556,80.556,80.556,80.556,80.556,80.556,80.556,80.556,80.556,80.556,80.556,80.556,80.556,80.556,80.556,80.556,80.556,80.556,80.556,80.556,80.556,80.556,80.556,80.556,80.556,80.556,80.556,80.556,80.556,80.556,80.556,80.556,80.556,80.556,80.556,80.556,80.556,80.556,80.556,80.556,80.556,80.556,80.556,80.556,80.556,80.556,80.556,80.556,80.556,81.715,81.715,81.715,81.715,81.715,81.715,81.715,81.715,81.715,81.715,81.715,81.715,81.715,81.715,81.715,81.715,81.715,81.715,81.715,81.715,81.715,81.715,81.715,81.715
1991-01-01,88.237,88.237,88.237,88.237,88.237,81.31,81.31,81.31,81.31,81.31,81.31,81.31,81.31,81.31,81.31,81.31,81.31,81.31,81.31,81.31,81.31,81.31,81.31,81.31,81.31,81.31,81.31,81.31,81.31,81.31,81.31,81.31,81.31,81.31,81.31,81.31,81.31,81.31,81.31,81.31,81.31,81.31,81.31,81.31,81.31,81.31,81.31,81.31,81.31,81.31,81.31,81.31,81.31,81.31,81.31,81.31,81.31,81.31,81.31,81.31,82.486,82.486,82.486,82.486,82.486,82.486,82.486,82.486,82.486,82.486,82.486,82.486,82.486,82.486,82.486,82.486,82.486,82.486,82.486,82.486,82.486,82.486,82.486,82.486
1991-04-01,88.25,88.25,88.25,88.25,88.25,81.476,81.476,81.476,81.476,81.476,81.476,81.476,81.476,81.476,81.476,81.476,81.476,81.476,81.476,81.476,81.476,81.476,81.476,81.476,81.476,81.476,81.476,81.476,81.476,81.476,81.476,81.476,81.476,81.476,81.476,81.476,81.476,81.476,81.476,81.476,81.476,81.476,81.476,81.476,81.476,81.476,81.476,81.476,81.476,81.476,81.476,81.476,81.476,81.476,81.476,81.476,81.476,81.476,81.476,81.476,82.662,82.662,82.662,82.662,82.662,82.662,82.662,82.662,82.662,82.662,82.662,82.662,82.662,82.662,82.662,82.662,82.662,82.662,82.662,82.662,82.662,82.662,82.662,82.662
1991-07-01,88.434,88.434,88.434,88.434,88.434,81.691,81.691,81.691,81.691,81.691,81.691,81.691,81.691,81.691,81.691,81.691,81.691,81.691,81.691,81.691,81.691,81.691,81.691,81.691,81.691,81.691,81.691,81.691,81.691,81.691,81.691,81.691,81.691,81.691,81.691,81.691,81.691,81.691,81.691,81.691,81.691,81.691,81.691,81.691,81.691,81.691,81.691,81.691,81.691,81.691,81.691,81.691,81.691,81.691,81.691,81.691,81.691,81.691,81.691,81.691,82.889,82.889,82.889,82.889,82.889,82.889,82.889,82.889,82.889,82.889,82.889,82.889,82.889,82.889,82.889,82.889,82.889,82.889,82.889,82.889,82.889,82.889,82.889,82.889
1991-10-01,88.249,88.249,88.249,88.249,88.249,81.497,81.497,81.497,81.497,81.497,81.497,81.497,81.497,81.497,81.497,81.497,81.497,81.497,81.497,81.497,81.497,81.497,81.497,81.497,81.497,81.497,81.497,81.497,81.497,81.497,81.497,81.497,81.497,81.497,81.497,81.497,81.497,81.497,81.497,81.497,81.497,81.497,81.497,81.497,81.497,81.497,81.497,81.497,81.497,81.497,81.497,81.497,81.497,81.497,81.497,81.497,81.497,81.497,81.497,81.497,82.695,82.695,82.695,82.695,82.695,82.695,82.695,82.695,82.695,82.695,82.695,82.695,82.695,82.695,82.695,82.695,82.695,82.695,82.695,82.695,82.695,82.695,82.695,82.695
1992-01-01,87.649,87.649,87.649,87.649,87.649,81.159,81.159,81.159,81.159,81.159,81.159,81.159,81.159,81.159,81.159,81.159,81.159,81.159,81.159,81.159,81.159,81.159,81.159,81.159,81.159,81.159,81.159,81.159,81.159,81.159,81.159,81.159,81.159,81.159,81.159,81.159,81.159,81.159,81.159,81.159,81.159,81.159,81.159,81.159,81.159,81.159,81.159,81.159,81.159,81.159,81.159,81.159,81.159,81.159,81.159,81.159,81.159,81.159,81.159,81.159,82.361,82.361,82.361,82.361,82.361,82.361,82.361,82.361,82.361,82.361,82.361,82.361,82.361,82.361,82.361,82.361,82.361,82.361,82.361,82.361,82.361,82.361,82.361,82.361
1992-04-01,87.831,87.831,87.831,87.831,87.831,81.322,81.322,81.322,81.322,81.322,81.322,81.322,81.322,81.322,81.322,81.322,81.322,81.322,81.322,81.322,81.322,81.322,81.322,81.322,81.322,81.322,81.322,81.322,81.322,81.322,81.322,81.322,81.322,81.322,81.322,81.322,81.322,81.322,81.322,81.322,81.322,81.322,81.322,81.322,81.322,81.322,81.322,81.322,81.322,81.322,81.322,81.322,81.322,81.322,81.322,81.322,81.322,81.322,81.322,81.322,82.536,82.536,82.536,82.536,82.536,82.536,82.536,82.536,82.536,82.536,82.536,82.536,82.536,82.536,82.536,82.536,82.536,82.536,82.536,82.536,82.536,82.536,82.536,82.536
1992-07-01,88.081,88.081,88.081,88.081,88.081,81.559,81.559,81.559,81.559,81.559,81.559,81.559,81.559,81.559,81.559,81.559,81.559,81.559,81.559,81.559,81.559,81.559,81.559,81.559,81.559,81.559,81.559,81.559,81.559,81.559,81.559,81.559,81.559,81.559,81.559,81.559,81.559,81.559,81.559,81.559,81.559,81.559,81.559,81.559,81.559,81.559,81.559,81.559,81.559,81.559,81.559,81.559,81.559,81.559,81.559,81.559,81.559,81.559,81.559,81.559,82.781,82.781,82.781,82.781,82.781,82.781,82.781,82.781,82.781,82.781,82.781,82.781,82.781,82.781,82.781,82.781,82.781,82.781,82.781,82.781,82.781,82.781,82.781,82.781
1992-10-01,88.282,88.282,88.282,88.282,88.282,81.748,81.748,81.748,81.748,81.748,81.748,81.748,81.748,81.748,81.748,81.748,81.748,81.748,81.748,81.748,81.748,81.748,81.748,81.748,81.748,81.748,81.748,81.748,81.748,81.748,81.748,81.748,81.748,81.748,81.748,81.748,81.748,81.748,81.748,81.748,81.748,81.748,81.748,81.748,81.748,81.748,81.748,81.748,81.748,81.748,81.748,81.748,81.748,81.748,81.748,81.748,81.748,81.748,81.748,81.748,82.981,82.981,82.981,82.981,82.981,82.981,82.981,82.981,82.981,82.981,82.981,82.981,82.981,82.981,82.981,82.981,82.981,82.981,82.981,82.981,82.981,82.981,82.981,82.981
1993-01-01,88.599,88.599,88.599,88.599,88.599,81.828,81.828,81.828,81.828,81.828,81.828,81.828,81.828,81.828,81.828,81.828,81.828,81.828,81.828,81.828,81.828,81.828,81.828,81.828,81.828,81.828,81.828,81.828,81.828,81.828,81.828,81.828,81.828,81.828,81.828,81.828,81.828,81.828,81.828,81.828,81.828,81.828,81.828,81.828,81.828,81.828,81.828,81.828,81.828,81.828,81.828,81.828,81.828,81.828,81.828,81.828,81.828,81.828,81.828,81.828,83.052,83.052,83.052,83.052,83.052,83.052,83.052,83.052,83.052,83.052,83.052,83.052,83.052,83.052,83.052,83.052,83.052,83.052,83.052,83.052,83.052,83.052,83.052,83.052
1993-04-01,88.95,88.95,88.95,88.95,88.95,82.16,82.16,82.16,82.16,82.16,82.16,82.16,82.16,82.16,82.16,82.16,82.16,82.16,82.16,82.16,82.16,82.16,82.16,82.16,82.16,82.16,82.16,82.16,82.16,82.16,82.16,82.16,82.16,82.16,82.16,82.16,82.16,82.16,82.16,82.16,82.16,82.16,82.16,82.16,82.16,82.16,82.16,82.16,82.16,82.16,82.16,82.16,82.16,82.16,82.16,82.16,82.16,82.16,82.16,82.16,83.388,83.388,83.388,83.388,83.388,83.388,83.388,83.388,83.388,83.388,83.388,83.388,83.388,83.388,83.388,83.388,83.388,83.388,83.388,83.388,83.388,83.388,83.388,83.388
1993-07-01,89.11,89.11,89.11,89.11,89.11,82.829,82.829,82.829,82.829,82.829,82.829,82.829,82.829,82.829,82.829,82.829,82.829,82.829,82.829,82.829,82.829,82.829,82.829,82.829,82.829,82.829,82.829,82.829,82.829,82.829,82.829,82.829,82.829,82.829,82.829,82.829,82.829,82.829,82.829,82.829,82.829,82.829,82.829,82.829,82.829,82.829,82.829,82.829,82.829,82.829,82.829,82.829,82.829,82.829,82.829,82.829,82.829,82.829,82.829,82.829,84.064,84.064,84.064,84.064,84.064,84.064,84.064,84.064,84.064,84.064,84.064,84.064,84.064,84.064,84.064,84.064,84.064,84.064,84.064,84.064,84.064,84.064,84.064,84.064
1993-10-01,89.404,89.404,89.404,89.404,89.404,82.798,82.798,82.798,82.798,82.798,82.798,82.798,82.798,82.798,82.798,82.798,82.798,82.798,82.798,82.798,82.798,82.798,82.798,82.798,82.798,82.798,82.798,82.798,82.798,82.798,82.798,82.798,82.798,82.798,82.798,82.798,82.798,82.798,82.798,82.798,82.798,82.798,82.798,82.798,82.798,82.798,82.798,82.798,82.798,82.798,82.798,82.798,82.798,82.798,82.798,82.798,82.798,82.798,82.798,82.798,84.042,84.042,84.042,84.042,84.042,84.042,84.042,84.042,84.042,84.042,84.042,84.042,84.042,84.042,84.042,84.042,84.042,84.042,84.042,84.042,84.042,84.042,84.042,84.042
1994-01-01,89.769,89.769,89.769,89.769,89.769,83.116,83.116,83.116,83.116,83.116,83.116,83.116,83.116,83.116,83.116,83.116,83.116,83.116,83.116,83.116,83.116,83.116,83.116,83.116,83.116,83.116,83.116,83.116,83.116,83.116,83.116,83.116,83.116,83.116,83.116,83.116,83.116,83.116,83.116,83.116,83.116,83.116,83.116,83.116,83.116,83.116,83.116,83.116,83.116,83.116,83.116,83.116,83.116,83.116,83.116,83.116,83.116,83.116,83.116,83.116,84.366,84.366,84.366,84.366,84.366,84.366,84.366,84.366,84.366,84.366,84.366,84.366,84.366,84.366,84.366,84.366,84.366,84.366,84.366,84.366,84.366,84.366,84.366,84.366
1994-04-01,89.968,89.968,89.968,89.968,89.968,83.387,83.387,83.387,83.387,83.387,83.387,83.387,83.387,83.387,83.387,83.387,83.387,83.387,83.387,83.387,83.387,83.387,83.387,83.387,83.387,83.387,83.387,83.387,83.387,83.387,83.387,83.387,83.387,83.387,83.387,83.387,83.387,83.387,83.387,83.387,83.387,83.387,83.387,83.387,83.387,83.387,83.387,83.387,83.387,83.387,83.387,83.387,83.387,83.387,83.387,83.387,83.387,83.387,83.387,83.387,84.645,84.645,84.645,84.645,84.645,84.645,84.645,84.645,84.645,84.645,84.645,84.645,84.645,84.645,84.645,84.645,84.645,84.645,84.645,84.645,84.645,84.645,84.645,84.645
1994-07-01,90.452,90.452,90.452,90.452,90.452,83.878,83.878,83.878,83.878,83.878,83.878,83.878,83.878,83.878,83.878,83.878,83.878,83.878,83.878,83.878,83.878,83.878,83.878,83.878,83.878,83.878,83.878,83.878,83.878,83.878,83.878,83.878,83.878,83.878,83.878,83.878,83.878,83.878,83.878,83.878,83.878,83.878,83.878,83.878,83.878,83.878,83.878,83.878,83.878,83.878,83.878,83.878,83.878,83.878,83.878,83.878,83.878,83.878,83.878,83.878,85.153,85.153,85.153,85.153,85.153,85.153,85.153,85.153,85.153,85.153,85.153,85.153,85.153,85.153,85.153,85.153,85.153,85.153,85.153,85.153,85.153,85.153,85.153,85.153
1994-10-01,90.602,90.602,90.602,90.602,90.602,84.144,84.144,84.144,84.144,84.144,84.144,84.144,84.144,84.144,84.144,84.144,84.144,84.144,84.144,84.144,84.144,84.144,84.144,84.144,84.144,84.144,84.144,84.144,84.144,84.144,84.144,84.144,84.144,84.144,84.144,84.144,84.144,84.144,84.144,84.144,84.144,84.144,84.144,84.144,84.144,84.144,84.144,84.144,84.144,84.144,84.144,84.144,84.144,84.144,84.144,84.144,84.144,84.144,84.144,84.144,85.435,85.435,85.435,85.435,85.435,85.435,85.435,85.435,85.435,85.435,85.435,85.435,85.435,85.435,85.435,85.435,85.435,85.435,85.435,85.435,85.435,85.435,85.435,85.435
1995-01-01,90.857,90.857,90.857,90.857,90.857,84.524,84.524,84.524,84.524,84.524,84.524,84.524,84.524,84.524,84.524,84.524,84.524,84.524,84.524,84.524,84.524,84.524,84.524,84.524,84.524,84.524,84.524,84.524,84.524,84.524,84.524,84.524,84.524,84.524,84.524,84.524,84.524,84.524,84.524,84.524,84.524,84.524,84.524,84.524,84.524,84.524,84.524,84.524,84.524,84.524,84.524,84.524,84.524,84.524,84.524,84.524,84.524,84.524,84.524,84.524,85.842,85.842,85.842,85.842,85.842,85.842,85.842,85.842,85.842,85.842,85.842,85.842,85.842,85.842,85.842,85.842,85.842,85.842,85.842,85.842,85.842,85.842,85.842,85.842
1995-04-01,91.119,91.119,91.119,91.119,91.119,84.789,84.789,84.789,84.789,84.789,84.789,84.789,84.789,84.789,84.789,84.789,84.789,84.789,84.789,84.789,84.789,84.789,84.789,84.789,84.789,84.789,84.789,84.789,84.789,84.789,84.789,84.789,84.789,84.789,84.789,84.789,84.789,84.789,84.789,84.789,84.789,84.789,84.789,84.789,84.789,84.789,84.789,84.789,84.789,84.789,84.789,84.789,84.789,84.789,84.789,84.789,84.789,84.789,84.789,84.789,86.104,86.104,86.104,86.104,86.104,86.104,86.104,86.104,86.104,86.104,86.104,86.104,86.104,86.104,86.104,86.104,86.104,86.104,86.104,86.104,86.104,86.104,86.104,86.104
1995-07-01,91.483,91.483,91.483,91.483,91.483,85.255,85.255,85.255,85.255,85.255,85.255,85.255,85.255,85.255,85.255,85.255,85.255,85.255,85.255,85.255,85.255,85.255,85.255,85.255,85.255,85.255,85.255,85.255,85.255,85.255,85.255,85.255,85.255,85.255,85.255,85.255,85.255,85.255,85.255,85.255,85.255,85.255,85.255,85.255,85.255,85.255,85.255,85.255,85.255,85.255,85.255,85.255,85.255,85.255,85.255,85.255,85.255,85.255,85.255,85.255,86.572,86.572,86.572,86.572,86.572,86.572,86.572,86.572,86.572,86.572,86.572,86.572,86.572,86.572,86.572,86.572,86.572,86.572,86.572,86.572,86.572,86.572,86.572,86.572
1995-10-01,91.38,91.38,91.38,91.38,91.38,85.253,85.253,85.253,85.253,85.253,85.253,85.253,85.253,85.253,85.253,85.253,85.253,85.253,85.253,85.253,85.253,85.253,85.253,85.253,85.253,85.253,85.253,85.253,85.253,85.253,85.253,85.253,85.253,85.253,85.253,85.253,85.253,85.253,85.253,85.253,85.253,85.253,85.253,85.253,85.253,85.253,85.253,85.253,85.253,85.253,85.253,85.253,85.253,85.253,85.253,85.253,85.253,85.253,85.253,85.253,86.541,86.541,86.541,86.541,86.541,86.541,86.541,86.541,86.541,86.541,86.541,86.541,86.541,86.541,86.541,86.541,86.541,86.541,86.541,86.541,86.541,86.541,86.541,86.541
