observation_date,A918RC1Q027SBEA_20130228,A918RC1Q027SBEA_20130426,A918RC1Q027SBEA_20130731,A918RC1Q027SBEA_20130829,A918RC1Q027SBEA_20130926,A918RC1Q027SBEA_20131107,A918RC1Q027SBEA_20131205,A918RC1Q027SBEA_20131220,A918RC1Q027SBEA_20140130,A918RC1Q027SBEA_20140228,A918RC1Q027SBEA_20140327,A918RC1Q027SBEA_20140430,A918RC1Q027SBEA_20140529,A918RC1Q027SBEA_20140730,A918RC1Q027SBEA_20140828,A918RC1Q027SBEA_20140926,A918RC1Q027SBEA_20141030,A918RC1Q027SBEA_20141125,A918RC1Q027SBEA_20150130,A918RC1Q027SBEA_20150227,A918RC1Q027SBEA_20150429,A918RC1Q027SBEA_20150529,A918RC1Q027SBEA_20150624,A918RC1Q027SBEA_20150730,A918RC1Q027SBEA_20150827,A918RC1Q027SBEA_20151029,A918RC1Q027SBEA_20151124,A918RC1Q027SBEA_20151222,A918RC1Q027SBEA_20160129,A918RC1Q027SBEA_20160428,A918RC1Q027SBEA_20160527,A918RC1Q027SBEA_20160729,A918RC1Q027SBEA_20160826,A918RC1Q027SBEA_20161028,A918RC1Q027SBEA_20161129,A918RC1Q027SBEA_20170127,A918RC1Q027SBEA_20170428,A918RC1Q027SBEA_20170526,A918RC1Q027SBEA_20170728,A918RC1Q027SBEA_20170830,A918RC1Q027SBEA_20171027,A918RC1Q027SBEA_20171129,A918RC1Q027SBEA_20171221,A918RC1Q027SBEA_20180126,A918RC1Q027SBEA_20180228,A918RC1Q027SBEA_20180328,A918RC1Q027SBEA_20180427,A918RC1Q027SBEA_20180530,A918RC1Q027SBEA_20180628,A918RC1Q027SBEA_20180727,A918RC1Q027SBEA_20180829,A918RC1Q027SBEA_20180927,A918RC1Q027SBEA_20181026,A918RC1Q027SBEA_20181128,A918RC1Q027SBEA_20181221,A918RC1Q027SBEA_20190228,A918RC1Q027SBEA_20190328,A918RC1Q027SBEA_20190426,A918RC1Q027SBEA_20190530,A918RC1Q027SBEA_20190627,A918RC1Q027SBEA_20190726,A918RC1Q027SBEA_20190926,A918RC1Q027SBEA_20191030,A918RC1Q027SBEA_20191127,A918RC1Q027SBEA_20191220,A918RC1Q027SBEA_20200130,A918RC1Q027SBEA_20200227,A918RC1Q027SBEA_20200326,A918RC1Q027SBEA_20200429,A918RC1Q027SBEA_20200528,A918RC1Q027SBEA_20200625,A918RC1Q027SBEA_20200730,A918RC1Q027SBEA_20200827,A918RC1Q027SBEA_20200930,A918RC1Q027SBEA_20201029,A918RC1Q027SBEA_20201125,A918RC1Q027SBEA_20201222,A918RC1Q027SBEA_20210128,A918RC1Q027SBEA_20210225
1962-07-01,11.5,11.5,17.3,17.3,17.3,17.3,17.3,17.3,17.3,17.3,17.3,17.3,17.3,17.3,17.3,17.3,17.3,17.3,17.3,17.3,17.3,17.3,17.3,17.3,17.3,17.3,17.3,17.3,17.3,17.3,17.3,17.3,17.3,17.3,17.3,17.3,17.3,17.3,17.3,17.3,17.304,17.304,17.304,17.304,17.304,17.304,17.304,17.304,17.304,17.318,17.318,17.318,17.318,17.318,17.318,17.318,17.318,17.318,17.318,17.318,17.318,17.318,17.318,17.318,17.318,17.318,17.318,17.318,17.318,17.318,17.318,17.318,17.318,17.318,17.318,17.318,17.318,17.318,17.318
1962-10-01,11.8,11.8,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.724,17.724,17.724,17.724,17.724,17.724,17.724,17.724,17.724,17.724,17.724,17.724,17.724,17.724,17.724,17.724,17.724,17.724,17.724,17.724,17.724,17.724,17.724,17.724,17.724,17.724,17.724,17.724,17.724,17.724
1963-01-01,11.9,11.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.948,17.948,17.948,17.948,17.948,17.948,17.948,17.948,17.948,17.981,17.981,17.981,17.981,17.981,17.981,17.981,17.981,17.981,17.981,17.981,17.981,17.981,17.981,17.981,17.981,17.981,17.981,17.981,17.981,17.981,17.981,17.981,17.981,17.981,17.981,17.981,17.981,17.981,17.981
1963-04-01,12.1,12.1,18.2,18.2,18.2,18.2,18.2,18.2,18.2,18.2,18.2,18.2,18.2,18.2,18.2,18.2,18.2,18.2,18.2,18.2,18.2,18.2,18.2,18.2,18.2,18.2,18.2,18.2,18.2,18.2,18.2,18.2,18.2,18.2,18.2,18.2,18.2,18.2,18.2,18.2,18.228,18.228,18.228,18.228,18.228,18.228,18.228,18.228,18.228,18.269,18.269,18.269,18.269,18.269,18.269,18.269,18.269,18.269,18.269,18.269,18.269,18.269,18.269,18.269,18.269,18.269,18.269,18.269,18.269,18.269,18.269,18.269,18.269,18.269,18.269,18.269,18.269,18.269,18.269
1963-07-01,12.1,12.1,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.428,18.428,18.428,18.428,18.428,18.428,18.428,18.428,18.428,18.487,18.487,18.487,18.487,18.487,18.487,18.487,18.487,18.487,18.487,18.487,18.487,18.487,18.487,18.487,18.487,18.487,18.487,18.487,18.487,18.487,18.487,18.487,18.487,18.487,18.487,18.487,18.487,18.487,18.487
1963-10-01,12.2,12.2,18.7,18.7,18.7,18.7,18.7,18.7,18.7,18.7,18.7,18.7,18.7,18.7,18.7,18.7,18.7,18.7,18.7,18.7,18.7,18.7,18.7,18.7,18.7,18.7,18.7,18.7,18.7,18.7,18.7,18.7,18.7,18.7,18.7,18.7,18.7,18.7,18.7,18.7,18.66,18.66,18.66,18.66,18.66,18.66,18.66,18.66,18.66,18.676,18.676,18.676,18.676,18.676,18.676,18.676,18.676,18.676,18.676,18.676,18.676,18.676,18.676,18.676,18.676,18.676,18.676,18.676,18.676,18.676,18.676,18.676,18.676,18.676,18.676,18.676,18.676,18.676,18.676
1964-01-01,12.3,12.3,18.9,18.9,18.9,18.9,18.9,18.9,18.9,18.9,18.9,18.9,18.9,18.9,18.9,18.9,18.9,18.9,18.9,18.9,18.9,18.9,18.9,18.9,18.9,18.9,18.9,18.9,18.9,18.9,18.9,18.9,18.9,18.9,18.9,18.9,18.9,18.9,18.9,18.9,18.876,18.876,18.876,18.876,18.876,18.876,18.876,18.876,18.876,18.909,18.909,18.909,18.909,18.909,18.909,18.909,18.909,18.909,18.909,18.909,18.909,18.909,18.909,18.909,18.909,18.909,18.909,18.909,18.909,18.909,18.909,18.909,18.909,18.909,18.909,18.909,18.909,18.909,18.909
1964-04-01,12.3,12.3,19.1,19.1,19.1,19.1,19.1,19.1,19.1,19.1,19.1,19.1,19.1,19.1,19.1,19.1,19.1,19.1,19.1,19.1,19.1,19.1,19.1,19.1,19.1,19.1,19.1,19.1,19.1,19.1,19.1,19.1,19.1,19.1,19.1,19.1,19.1,19.1,19.1,19.1,19.088,19.088,19.088,19.088,19.088,19.088,19.088,19.088,19.088,19.113,19.113,19.113,19.113,19.113,19.113,19.113,19.113,19.113,19.113,19.113,19.113,19.113,19.113,19.113,19.113,19.113,19.113,19.113,19.113,19.113,19.113,19.113,19.113,19.113,19.113,19.113,19.113,19.113,19.113
1964-07-01,12.3,12.3,19.3,19.3,19.3,19.3,19.3,19.3,19.3,19.3,19.3,19.3,19.3,19.3,19.3,19.3,19.3,19.3,19.3,19.3,19.3,19.3,19.3,19.3,19.3,19.3,19.3,19.3,19.3,19.3,19.3,19.3,19.3,19.3,19.3,19.3,19.3,19.3,19.3,19.3,19.28,19.28,19.28,19.28,19.28,19.28,19.28,19.28,19.28,19.294,19.294,19.294,19.294,19.294,19.294,19.294,19.294,19.294,19.294,19.294,19.294,19.294,19.294,19.294,19.294,19.294,19.294,19.294,19.294,19.294,19.294,19.294,19.294,19.294,19.294,19.294,19.294,19.294,19.294
1964-10-01,12.4,12.4,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.452,19.452,19.452,19.452,19.452,19.452,19.452,19.452,19.452,19.498,19.498,19.498,19.498,19.498,19.498,19.498,19.498,19.498,19.498,19.498,19.498,19.498,19.498,19.498,19.498,19.498,19.498,19.498,19.498,19.498,19.498,19.498,19.498,19.498,19.498,19.498,19.498,19.498,19.498
1965-01-01,12.5,12.5,19.6,19.6,19.6,19.6,19.6,19.6,19.6,19.6,19.6,19.6,19.6,19.6,19.6,19.6,19.6,19.6,19.6,19.6,19.6,19.6,19.6,19.6,19.6,19.6,19.6,19.6,19.6,19.6,19.6,19.6,19.6,19.6,19.6,19.6,19.6,19.6,19.6,19.6,19.624,19.624,19.624,19.624,19.624,19.624,19.624,19.624,19.624,19.672,19.672,19.672,19.672,19.672,19.672,19.672,19.672,19.672,19.672,19.672,19.672,19.672,19.672,19.672,19.672,19.672,19.672,19.672,19.672,19.672,19.672,19.672,19.672,19.672,19.672,19.672,19.672,19.672,19.672
1965-04-01,12.6,12.6,19.8,19.8,19.8,19.8,19.8,19.8,19.8,19.8,19.8,19.8,19.8,19.8,19.8,19.8,19.8,19.8,19.8,19.8,19.8,19.8,19.8,19.8,19.8,19.8,19.8,19.8,19.8,19.8,19.8,19.8,19.8,19.8,19.8,19.8,19.8,19.8,19.8,19.8,19.848,19.848,19.848,19.848,19.848,19.848,19.848,19.848,19.848,19.894,19.894,19.894,19.894,19.894,19.894,19.894,19.894,19.894,19.894,19.894,19.894,19.894,19.894,19.894,19.894,19.894,19.894,19.894,19.894,19.894,19.894,19.894,19.894,19.894,19.894,19.894,19.894,19.894,19.894
1965-07-01,12.7,12.7,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.134,20.134,20.134,20.134,20.134,20.134,20.134,20.134,20.134,20.134,20.134,20.134,20.134,20.134,20.134,20.134,20.134,20.134,20.134,20.134,20.134,20.134,20.134,20.134,20.134,20.134,20.134,20.134,20.134,20.134
1965-10-01,12.7,12.7,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.308,20.308,20.308,20.308,20.308,20.308,20.308,20.308,20.308,20.352,20.352,20.352,20.352,20.352,20.352,20.352,20.352,20.352,20.352,20.352,20.352,20.352,20.352,20.352,20.352,20.352,20.352,20.352,20.352,20.352,20.352,20.352,20.352,20.352,20.352,20.352,20.352,20.352,20.352
1966-01-01,12.8,12.8,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.54,20.54,20.54,20.54,20.54,20.54,20.54,20.54,20.54,20.567,20.567,20.567,20.567,20.567,20.567,20.567,20.567,20.567,20.567,20.567,20.567,20.567,20.567,20.567,20.567,20.567,20.567,20.567,20.567,20.567,20.567,20.567,20.567,20.567,20.567,20.567,20.567,20.567,20.567
1966-04-01,13.0,13.0,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.856,20.856,20.856,20.856,20.856,20.856,20.856,20.856,20.856,20.895,20.895,20.895,20.895,20.895,20.895,20.895,20.895,20.895,20.895,20.895,20.895,20.895,20.895,20.895,20.895,20.895,20.895,20.895,20.895,20.895,20.895,20.895,20.895,20.895,20.895,20.895,20.895,20.895,20.895
1966-07-01,13.2,13.2,21.2,21.2,21.2,21.2,21.2,21.2,21.2,21.2,21.2,21.2,21.2,21.2,21.2,21.2,21.2,21.2,21.2,21.2,21.2,21.2,21.2,21.2,21.2,21.2,21.2,21.2,21.2,21.2,21.2,21.2,21.2,21.2,21.2,21.2,21.2,21.2,21.2,21.2,21.164,21.164,21.164,21.164,21.164,21.164,21.164,21.164,21.164,21.199,21.199,21.199,21.199,21.199,21.199,21.199,21.199,21.199,21.199,21.199,21.199,21.199,21.199,21.199,21.199,21.199,21.199,21.199,21.199,21.199,21.199,21.199,21.199,21.199,21.199,21.199,21.199,21.199,21.199
