"OBS","FGS1_SA","FGSEXDIV_SA","CASH_SA","LIQS_SA","WKS_SA","FRACTION","CAPX_Q_SA","FG_SA","DATE"
"1988Q4",0.565486083827336,0.377036437828768,0.0340775090413355,-0.454222886297524,0.457004766013929,0.5198143,72817.6547291437,44104.1565060837,1988.75
"1989Q1",0.349814911832829,0.245817370532823,0.198148663900839,0.210893446494517,0.355638997361642,0.5286666,74260.6121729533,25740.2173473401,1989
"1989Q2",0.407546827992841,0.251323264544477,0.190389613905319,0.00039319411775127,0.325554673740956,0.495819,72764.6572438455,29179.122678305,1989.25
"1989Q3",0.403679792087502,0.240048130630614,0.260953572601333,0.551020927092829,0.301826169936722,0.4818558,74036.1025661196,28893.4594240215,1989.5
"1989Q4",0.379726453516485,0.237722548968947,0.316561693239825,0.390454679635537,0.278103945142461,0.4725034,74917.16354390841,28319.0759307031,1989.75
"1990Q1",0.374388303264359,0.250076144557118,0.291060621748921,0.31597539237698,0.27925477704604,0.4870364,77336.2128418676,28660.2412920534,1990
"1990Q2",0.404560074108231,0.274975706505469,0.109243086096028,0.215689559477149,0.263514621379026,0.4681871,80231.8316480232,31757.3420070666,1990.25
"1990Q3",0.360869083914239,0.23362244146941,0.146208952981506,0.06916595955137431,0.249934218443975,0.4651935,79362.9383972756,27595.7286473485,1990.5
"1990Q4",0.390425168424126,0.270349154243702,0.133446122285558,0.282571503029247,0.279783314105508,0.4347096,81410.8325419273,31620.8831972064,1990.75
"1991Q1",0.41068485317122,0.277735130720726,0.120881180432636,0.404538343291643,0.263175707166882,0.4807165,79718.9349239295,32036.3815620181,1991
"1991Q2",0.34726248786563,0.218392229930596,0.198761319065988,0.372493221299584,0.261374250567865,0.4316454,77798.8694597477,26500.3795937534,1991.25
"1991Q3",0.355748019646356,0.235907442053395,0.164192614538148,0.339630452244117,0.28200937191754,0.4365002,77430.1726015764,26607.0148540273,1991.5
"1991Q4",0.360303986547906,0.2432151812204,0.251554611187696,0.401199075878516,0.26662419690259,0.4447386,73158.3025410182,26427.0772532022,1991.75
"1992Q1",0.348996762357756,0.234904995994901,0.218336330587629,0.364884448586228,0.292723899682175,0.4661268,75729.5216804753,25647.1517294269,1992
"1992Q2",0.339495467414402,0.236094761614473,0.242606079368741,0.296590866192191,0.304966356815236,0.4470974,76147.8123832789,25388.1589026507,1992.25
"1992Q3",0.398543965484105,0.277166154573281,0.192805977513391,0.256343272458522,0.30224114068634,0.4338327,77027.2516591889,29775.2651434872,1992.5
"1992Q4",0.333404469960914,0.220304548719819,0.063112250184684,0.355505650909105,0.276913682269481,0.4596673,77350.92330456369,25348.8832239937,1992.75
"1993Q1",0.32572832088913,0.216712152169677,0.0643262720509671,0.238017944774525,0.336243156526618,0.4786709,78863.2725660765,25092.656350123,1993
"1993Q2",0.337189982287282,0.229431275168452,0.258882042088166,0.420431720993436,0.35498582367723,0.4677661,79536.54569916691,26224.58067915,1993.25
"1993Q3",0.323407589166718,0.228713693548516,0.2749744826636,0.445220331459384,0.352925194910006,0.4736447,79827.5311327392,25218.2621730142,1993.5
"1993Q4",0.310432263050264,0.210324499669534,0.0932242950656229,0.187777447619092,0.346547954660078,0.4804782,77818.4333311883,23521.1468271897,1993.75
"1994Q1",0.333431083417831,0.240343689898509,0.336423041076587,0.126330628988187,0.324648210091794,0.5069118,82489.2435127199,26539.2122880778,1994
"1994Q2",0.337602454035828,0.241927358009051,0.248023605095534,0.300032675520441,0.335051078480841,0.4771009,86367.8195762223,28459.0450374275,1994.25
"1994Q3",0.347977526405086,0.235086173336187,0.235179295348461,0.260099396306547,0.327335656247919,0.4757973,88776.3160818781,30438.4606223554,1994.5
"1994Q4",0.295304327733713,0.215330754272474,0.370166941795619,0.0557707773485016,0.359754582660867,0.4745909,92338.78440215311,25657.9208971385,1994.75
"1995Q1",0.313407497811672,0.219223596374228,0.226635264146483,0.326401313917321,0.332629678901741,0.4787535,97425.4741111889,30546.38604177,1995
"1995Q2",0.342485731711564,0.23906643565522,0.183906250830287,0.185768429313563,0.30957173101093,0.4625807,99630.96786102001,33185.3185117941,1995.25
"1995Q3",0.350819035256646,0.265048173294816,0.105778182353161,0.196879093210457,0.323801912294668,0.4564739,102467.827204732,35741.543385313,1995.5
"1995Q4",0.360471834708148,0.245033801904396,0.0552974781427096,0.144533041351474,0.287412722589948,0.4784437,108855.225760913,38358.9710976358,1995.75
"1996Q1",0.346601797714295,0.258893321012965,0.151967202784635,0.166015865246762,0.302627333405757,0.478948,109418.075902014,37576.1562948856,1996
"1996Q2",0.336468523659325,0.235416268075232,-0.0540645823013578,-0.07490339512013849,0.306209552483476,0.4865414,114130.187722222,37456.1977700444,1996.25
"1996Q3",0.308507922593172,0.222719729495017,0.0484437844821171,0.0818613751854636,0.333757319985975,0.4808729,117277.272293345,36131.4448583417,1996.5
"1996Q4",0.356032466686866,0.279408736585623,0.117742163234396,0.19187516148095,0.279766374582671,0.4989537,126246.62000939,43573.9048027859,1996.75
"1997Q1",0.351409845983005,0.261640713850971,0.192923303414212,0.0555151651854712,0.322109797297136,0.528586,118849.080093872,41319.6070203102,1997
"1997Q2",0.343528153635771,0.262648665229156,0.200243584334743,0.166271894806674,0.295682096148656,0.5103013,128579.989371246,43249.9007000614,1997.25
"1997Q3",0.351505930994523,0.263841476992792,0.116131788012013,0.0820276126645183,0.290446469906872,0.507167,136918.065405715,47883.4317661436,1997.5
"1997Q4",0.38790963272875,0.299793144743473,0.0900735634523881,0.147763301570573,0.294127960524156,0.5139464,140828.983820483,53565.400909281,1997.75
